ticker,name,price_date, close_price, macd long,macd short,RSI, Stoch,bolli
NVGN,Novogen Limited ,2016-12-27,1.46,-0.02189497835934162,-0.035071976482868195,24.716,16.7642,0.1922835269037418
RBA,Ritchie Bros. Auctioneers Incor ,2016-12-27,34.02,-0.5445958822965622,-0.885146975517273,32.4368,16.5314,0.16430741195056184
RHT,Red Hat Inc. Common ,2016-12-27,70.19,-1.1137251108884811,-2.1851567029953003,33.7589,33.2472,0.17340239567820534
XCO,EXCO Resources Inc. Exco Resou ,2016-12-27,0.94,-0.010868607088923454,-0.01961064711213112,33.4264,21.1897,0.15274442057823487
ZIOP,ZIOPHARM Oncology Inc ,2016-12-27,5.59,-0.11398827470839024,-0.1409440040588379,37.5497,8.1434,0.22190191223680467
ARCO, Arcos Dorados Holdings Inc. Cla ,2016-12-27,5.25,-0.04655515402555466,-0.06367717683315277,35.5724,11.1111,0.14653130463584804
BIOL, Biolase  Inc. ,2016-12-27,1.46,-0.03619339969009161,-0.05742190591990948,33.7748,12.8807,0.23096733449840962
CELGZ, Celgene Corporation ,2016-12-27,1.01,-0.014308326877653599,-0.02443961426615715,37.4065,12.9128,0.17372373809402564
DTYL, iPath US Treasury 10 Yr Bull ET ,2016-12-27,73.72,-0.9845529198646545,-1.4839081764221191,0.442957,0,0.1580488612712726
FENG, Phoenix New Media Limited Ameri ,2016-12-27,3.32,-0.03897916525602341,-0.048550963401794434,33.7107,11.1496,0.17994434335873402
JJN, iPath Dow Jones UBS Nickel Subi ,2016-12-27,12.7,-0.18362064217217267,-0.23041391372680664,34.8664,6.96177,0.14664447813340356
RLJE, RLJ Entertainment  Inc. ,2016-12-27,1.36,-0.022280339151620865,-0.03548091650009155,30.786,13.0174,0.2453964589855346
INXX,EGShares India Infrastructure ETF,2016-12-27,10.33,-0.06508243083953857,-0.1341848373413086,25.8811,9.66432,0.11405480138147181
HAO,Guggenheim China Small Cap ETF,2016-12-27,21.7,-0.16458827257156372,-0.22596466541290283,22.1632,6.00444,0.13474647463886244
HMTV,Hemisphere Media Group Inc. ,2016-12-27,10.85,-0.05858097970485687,-0.06734257936477661,31.932,22.7081,0.12015655403268458
CN, ,2016-12-27,25.981,,,13.1157,3.63808,0.1585742419849592
NINI,iPath Pure Beta Nickel ETN ,2016-12-27,16.93,-0.251505009829998,-0.38857731223106384,25.0441,3.57965,0.14461343325915724
MCUR,Macrocure Ltd.,2016-12-27,1.45,-0.015962781384587288,-0.02611786499619484,36.5822,35.6296,0.11864086061336852
MYOS,MYOS Corporation,2016-12-27,1.28,-0.019299626350402832,-0.04357045888900757,38.6519,16.4953,0.21760309692647342
AMTX,Aemetis Inc,2016-12-27,1.5,-0.02199098386336118,-0.03529917076230049,39.9567,38.4743,0.1847660597982826
AMPH,Amphastar Pharmaceuticals Inc.,2016-12-27,18.57,-0.14454889297485352,-0.3639962077140808,39.2806,34.6974,0.11956027452106244
HDRA,Hydra Industries Acquisition Corp.,2016-12-27,8.45,-0.12008479982614517,-0.2804102301597595,16.807,27.2591,0.14221658429313552
AEMD,Aethlon Medical  Inc.,2016-12-27,4.21,-0.04327208548784256,-0.060749754309654236,34.3937,11.2182,0.15468891514682087
