ticker,name,sector,industry
SIX,Six Flags Entertainment Corpora ,Services,General Entertainment
MRGR,ProShares Merger ETF ,,
MCS,Marcus Corporation (The) Common ,Services,Resorts & Casinos
SAR, Saratoga Investment Corp New ,Financial,Closed-End Fund - Equity
KTF, DSW Municiple Income Trust Comm ,N/A,N/A
GFF,Griffon Corporation Common Stoc ,Industrial Goods,General Building Materials
GOF, Guggenheim Strategic Opportunit ,N/A,N/A
BKSC, Bank of South Carolina Corp. ,Financial,Regional - Mid-Atlantic Banks
PZC, PIMCO California Municipal Inco ,N/A,N/A
MSM,MSC Industrial Direct Company  ,Services,Industrial Equipment Wholesale
SNP,China Petroleum & Chemical Corp ,Basic Materials,Major Integrated Oil & Gas
SMDD,ProShares UltraPro Short MidCap400 ETF,Commodity Based ETF,
CYBR,CyberArk Software Ltd.,Technology,Business Software & Services
TACO,Del Taco Restaurants  Inc.,Services,Restaurants
GOOD,Gladstone Commercial Corporatio ,Financial,REIT - Diversified
RMCF,Rocky Mountain Chocolate Factor ,Consumer Goods,Confectioners
AMRK,A-Mark Precious Metals Inc. ,Financial,Investment Brokerage - National
AIW,Arlington Asset Investment Corp. ,N/A,N/A
CATM,Cardtronics Inc. ,Services,Business Services
SNH,Senior Housing Properties Trust ,Financial,REIT - Residential
GPOR,Gulfport Energy Corporation ,Basic Materials,Independent Oil & Gas
OC,Owens Corning Inc Common ,Industrial Goods,General Building Materials
ANF,Abercrombie & Fitch Company Com ,Services,Apparel Stores
VNM,Market Vectors Vietnam ETF,Global Equity ETF,
REW,ProShares UltraShort Technology ETF,Commodity Based ETF,
NGL, NGL ENERGY PARTNERS LP Common U ,Basic Materials,Oil & Gas Refining & Marketing
AHC,A.H. Belo Corporation Common St ,Services,Publishing - Newspapers
SMN,ProShares UltraShort Basic Materials ETF,Commodity Based ETF,
BWINA, Baldwin & Lyons  Inc. ,N/A,N/A
ICCC, ImmuCell Corporation ,Healthcare,Diagnostic Substances
BURL,Burlington Stores Inc. ,Services,Discount
DRR, Market Vectors Double Short Eur ,N/A,N/A
