ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
ADTN,ADTRAN Inc. ,Technology,2016-01-22,18.84,0.297457098960876,79.0562,70.5487,0.613151,2.45260572433472
AMIC,American Independence Corp. ,Financial,2016-01-22,19.57,0.893419981002808,94.8595,92.2842,3.35311,13.4124526977539
BIN,Progressive Waste Solutions Ltd ,Industrial Goods,2016-01-22,27.82,0.692339301109314,84.2195,73.7044,1.63014,6.52055025100708
CELH,CELSIUS HOLDINGS ,Consumer Goods,2016-01-22,2.22,0.0661635659635067,68.7894,71.0289,0.134722,0.538888692855835
PETS,PetMed Express Inc. ,Healthcare,2016-01-22,18.7,0.352971583604813,69.5183,70.1463,0.498466,1.99386525154114
DSCO, Discovery Laboratories  Inc. ,Healthcare,2016-01-22,2.17,0.370439276099205,29.5489,97.3277,0.418577,1.67430889606476
SPHS,Sophiris Bio Inc. ,Healthcare,2016-01-22,2.34,0.157548129558563,80.7685,73.7783,0.178996,0.715985119342804
JGBL,PowerShares DB Japan Gov Bond ETN ,N/A,2016-01-22,22.5,0.0953277498483658,74.9609,74.3339,0.286259,1.14503717422485
SPKE,Spark Energy Inc.,Utilities,2016-01-22,23.97,0.478217482566833,49.7182,72.7702,1.42608,5.70433235168457
TFSCU,1347 Capital Corp.,N/A,2016-01-22,10.3,0.0387757625430822,1.4245,75.0844,0.0633806,0.253522545099258
BITI,Biotie Therapies Corp.,N/A,2016-01-22,24.58,1.98554658889771,88.4338,87.7103,4.14084,16.5633754730225
WING,Wingstop Inc.,Services,2016-01-22,25.7,0.497569680213928,87.497,71.0792,1.14034,4.56137752532959
