ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
DF,Dean Foods Company Common ,Consumer Goods,2016-03-24,17.15,-0.545760452747345,17.7337,29.5592,0.851457,3.40582871437073
GLCH,Gleacher & Company Inc. ,Financial,2016-03-24,1.7,-0.393718600273132,15.1775,14.1012,0.484902,1.93960738182068
RFIL,RF Industries Ltd. ,Technology,2016-03-24,2.88,-0.182508289813995,9.5818,19.4939,0.42954,1.71815943717957
MCBK, Madison County Financial  Inc. ,N/A,2016-03-24,19.77,-0.100439548492432,3.3334,15.0217,0.162127,0.648508191108704
TAIT, Taitron Components Incorporated ,Services,2016-03-24,0.85,-0.0181718673557043,23.3333,23.4175,0.0273695,0.109477855265141
YANG, Direxion Daily China Bear 3x Sh ,N/A,2016-03-24,26.84,-12.6606979370117,14.0632,17.1928,26.912,107.648063659668
IGS,ProShares Short Investment Grade Corporate ETF,Fixed Income ETF,2016-03-24,26.66,-0.153701066970825,5.0167e-12,7.07541,0.440806,1.7632247209549
SPHS,Sophiris Bio Inc. ,Healthcare,2016-03-24,1.39,-0.0786769911646843,13.4053,28.6831,0.155655,0.622621715068817
SPCB,SuperCom Ltd. ,Technology,2016-03-24,3.97,0,12.9472,29.0608,0.302713,1.21085250377655
PTLA,Portola Pharmaceuticals Inc. ,Healthcare,2016-03-24,20.27,-1.28049731254578,41.0725,26.3075,2.21679,8.86717987060547
DSKX,DS Healthcare Group Inc. ,Consumer Goods,2016-03-24,0.86,-0.0926869660615921,24.4557,22.7395,0.145198,0.580793261528015
SAGG,Direxion Daily Tot Bd Mkt Bear 1X Shares ,N/A,2016-03-24,32.11,-0.0180465951561928,7.64999e-11,10.1924,0.0512326,0.204930409789085
SGYPW,Synergy Pharmaceuticals  Inc. ,N/A,2016-03-24,0.6,-0.0618952959775925,45.6581,27.7744,0.106937,0.427746653556824
CIVI,Civitas Solutions Inc. Common,Healthcare,2016-03-24,16.05,-0.114114165306091,11.3875,27.2685,0.777327,3.10930633544922
CYNA,Cynapsus Therapeutics ,N/A,2016-03-24,11.19,-0.318432807922363,27.1444,20.1205,0.728228,2.91291093826294
