ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
ABT,Abbott Laboratories Common Stoc ,Healthcare,2015-09-25,40.86,-0.307491540908813,13.1022,27.751,2.49037,9.9614953994751
AES,The AES Corporation Common Stoc ,Utilities,2015-09-25,9.96,-0.152165174484253,3.90743,22.1528,0.744195,2.9767804145813
ALXN,Alexion Pharmaceuticals Inc. ,Healthcare,2015-09-25,149.25,-2.55153656005859,14.0727,23.5162,8.73662,34.9464912414551
BAX,Baxter International Inc. Commo ,Healthcare,2015-09-25,34.45,-0.0723638534545898,21.7214,25.4445,1.7965,7.18599319458008
BEN,Franklin Resources Inc. Common ,Financial,2015-09-25,37.36,-0.121700763702393,8.52694,27.6568,1.76775,7.07099390029907
CAT,Caterpillar Inc. Common ,Conglomerates,2015-09-25,64.98,-1.58722019195557,8.36227,25.7762,3.11417,12.4566879272461
CBS,CBS Corporation Class B Common  ,Services,2015-09-25,40.77,-0.228124141693115,12.0049,25.4997,2.34124,9.36495399475098
CF,CF Industries Holdings Inc. Co ,Basic Materials,2015-09-25,46.37,-1.22784233093262,6.73904,23.3169,4.10461,16.41845703125
CMI,Cummins Inc. Common ,Industrial Goods,2015-09-25,110.52,-1.20882272720337,14.7889,29.7496,4.31572,17.2628765106201
CNX,CONSOL Energy Inc. Common ,Basic Materials,2015-09-25,10.44,-0.43557870388031,9.41616,28.7374,1.19161,4.76642227172852
DE,Deere & Company Common ,Industrial Goods,2015-09-25,75.81,-0.468103885650635,14.1576,26.7355,5.18788,20.7515106201172
DO,Diamond Offshore Drilling Inc. ,Basic Materials,2015-09-25,18.34,-0.537828207015991,8.45093,29.0925,1.48376,5.93505525588989
FMC,FMC Corporation Common ,Basic Materials,2015-09-25,34.46,-0.603898525238037,3.9086,19.1208,3.30375,13.2149801254272
IP,International Paper Company Com ,Consumer Goods,2015-09-25,38.7,-0.196321249008179,6.4124,25.8447,2.27023,9.08090400695801
KSS,Kohl's Corporation Common ,Services,2015-09-25,47.7,-0.190936803817749,7.78254,27.7869,2.61244,10.4497480392456
M,Macy's Inc Common ,Services,2015-09-25,52.51,-0.319132328033447,4.25225,21.7722,3.16872,12.6748809814453
MON,Monsanto Company Common ,Basic Materials,2015-09-25,84.51,-0.518620491027832,8.55831,24.7506,5.25026,21.0010375976562
MOS,Mosaic Company (The) Common Sto ,Basic Materials,2015-09-25,32.14,-0.957783699035645,6.58518,22.3519,3.03173,12.1269187927246
MYL,Mylan Inc. ,Healthcare,2015-09-25,43.61,-0.652486324310303,18.2539,25.1512,3.15551,12.6220598220825
NRG,NRG Energy Inc. Common ,Utilities,2015-09-25,15.07,-0.441737174987793,8.66835,25.7013,1.66475,6.65898180007935
PCAR,PACCAR Inc. ,Consumer Goods,2015-09-25,53.16,-0.57869815826416,13.7737,27.1963,2.27506,9.1002311706543
PRGO,Perrigo Company ,Healthcare,2015-09-25,160.9,-3.14589786529541,12.9348,25.0036,7.48962,29.958475112915
SEE,Sealed Air Corporation Common S ,Consumer Goods,2015-09-25,46.9,-0.701950311660767,5.85588,25.233,1.86588,7.46353387832642
SHW,Sherwin-Williams Company (The)  ,Industrial Goods,2015-09-25,227.49,-3.62458038330078,4.18712,24.9915,12.4752,49.9007034301758
SNI,Scripps Networks Interactive I ,Services,2015-09-25,49.58,-0.401604890823364,9.81886,28.3668,2.04436,8.17742347717285
SWN,Southwestern Energy Company Com ,Basic Materials,2015-09-25,12.99,-0.282288789749146,7.4575,27.7096,1.10439,4.41756153106689
THC,Tenet Healthcare Corporation Co ,Healthcare,2015-09-25,40.53,-0.747616291046143,13.6632,23.3726,2.74865,10.9946146011353
VRTX,Vertex Pharmaceuticals Incorpor ,Healthcare,2015-09-25,103.28,-4.75323963165283,10.4587,26.5379,9.31067,37.2426719665527
WDC,Western Digital Corporation ,Technology,2015-09-25,70.47,-1.46608543395996,7.94985,27.657,3.93074,15.7229738235474
WYNN,Wynn Resorts Limited ,Services,2015-09-25,58.23,-1.20935344696045,0.900096,24.0516,10.1479,40.5916519165039
JOY, Joy Global Inc. Common ,Industrial Goods,2015-09-25,15.27,-0.127990245819092,6.2884,18.7696,3.63028,14.5211086273193
MNK,Mallinckrodt plc ,Healthcare,2015-09-25,68.45,-1.51263999938965,6.30528,22.3079,7.65576,30.6230411529541
ABBV,AbbVie Inc. ,Healthcare,2015-09-25,55.74,-0.472316741943359,14.5296,28.8815,3.89387,15.5754776000977
