ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
NL,NL Industries Inc. Common Stoc ,Basic Materials,Synthetics
JOUT,Johnson Outdoors Inc. ,Consumer Goods,Sporting Goods
GEF,Greif Inc. Class A Common ,Consumer Goods,Packaging & Containers
OXM,Oxford Industries Inc. Common  ,Consumer Goods,Textile - Apparel Clothing
UNF,Unifirst Corporation Common Sto ,Consumer Goods,Textile - Apparel Clothing
MLP,Maui Land & Pineapple Company  ,Financial,Real Estate Development
NMIH,NMI Holdings Inc. ,Financial,Surety & Title Insurance
BRT,BRT Realty Trust Common ,Financial,Mortgage Investment
OSHC,Ocean Shore Holding Co. ,Financial,Regional - Northeast Banks
GAIN,Gladstone Investment Corporatio ,Financial,Diversified Investments
MDVN,Medivation Inc. ,Healthcare,Biotechnology
AQXP,Aquinox Pharmaceuticals Inc. ,Healthcare,Drugs - Generic
USMD, USMD Holdings  Inc. ,Healthcare,Hospitals
OSUR,OraSure Technologies Inc. ,Healthcare,Medical Instruments & Supplies
CSTM,Constellium N.V ,Industrial Goods,Metal Fabrication
ANGI, Angie's List  Inc. ,N/A,N/A
HIFR,InfraREIT Inc. Common,N/A,N/A
HBK, Hamilton Bancorp  Inc. ,N/A,N/A
JGBL,PowerShares DB Japan Gov Bond ETN ,N/A,N/A
CARB, Carbonite  Inc. ,Services,Business Services
MOCO,MOCON Inc. ,Technology,Scientific & Technical Instruments
AOSL,Alpha and Omega Semiconductor L ,Technology,Semiconductor - Specialized
AAOI,Applied Optoelectronics Inc. ,Technology,Semiconductor - Integrated Circuits
