ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
TTM, Tata Motors Ltd Tata Motors Lim ,Consumer Goods,Auto Manufacturers - Major
BMTC,Bryn Mawr Bank Corporation ,Financial,Regional - Northeast Banks
ORRF,Orrstown Financial Services Inc ,Financial,Regional - Northeast Banks
NAVG,The Navigators Group Inc. ,Financial,Property & Casualty Insurance
BNCL,Beneficial Mutual Bancorp Inc. ,Financial,Regional - Northeast Banks
GYRO, Gyrodyne Company of America  In ,Financial,REIT - Office
AUD,PIMCO Australia Bond Index Fund ETF,Fixed Income ETF,
IDXX, IDEXX Laboratories  Inc. ,Healthcare,Diagnostic Substances
CLCD,CoLucid Pharmaceuticals  Inc.,Healthcare,Biotechnology
USMD, USMD Holdings  Inc. ,Healthcare,Hospitals
CYNA,Cynapsus Therapeutics ,N/A,N/A
JGBL,PowerShares DB Japan Gov Bond ETN ,N/A,N/A
FSC, Fifth Street Finance Corp. ,N/A,N/A
KFYP,KraneShares CSI China Five Year Plan ETF ,N/A,N/A
ACXM,Acxiom Corporation ,Technology,Information Technology Services
IL, IntraLinks Holdings  Inc. Commo ,Technology,Security Software & Services
TSRI,TSR Inc. ,Technology,Business Software & Services
IDCC, InterDigital  Inc. ,Technology,Wireless Communications
