ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
BCPC,Balchem Corporation ,Basic Materials,Chemicals - Major Diversified
NVFY,Nova Lifestyle Inc. ,Consumer Goods,Home Furnishings & Fixtures
WGO,Winnebago Industries Inc. Comm ,Consumer Goods,Recreational Vehicles
BZM, BlackRock Maryland Municipal Bo ,Financial,Closed-End Fund - Debt
AAMC,Altisource Asset Management Corporation ,Financial,Asset Management
DVCR,Diversicare Healthcare Services Inc. ,Healthcare,Long-Term Care Facilities
SRPT, Sarepta Therapeutics  Inc. ,Healthcare,Biotechnology
BVX,Bovie Medical Corporation Commo ,Healthcare,Medical Instruments & Supplies
TBRA,Tobira Therapeutics  Inc.,Healthcare,Biotechnology
AGX,Argan Inc. Common ,Industrial Goods,Heavy Construction
EAGLU,Silver Eagle Acquisition Corp. ,N/A,N/A
SIEN,Sientra Inc.,N/A,N/A
SVVC, Firsthand Technology Value Fund ,N/A,N/A
CAB,Cabela's Inc Class A Common Sto ,Services,Sporting Goods Stores
EVI,EnviroStar Inc.  Common ,Services,Consumer Services
