ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
TSE,Trinseo S.A. Ordinary Shares,Basic Materials,Synthetics
ORI,Old Republic International Corp ,Financial,Surety & Title Insurance
ALLY,Ally Financial Inc. ,Financial,Mortgage Investment
FFWM,First Foundation Inc.,Financial,Regional - Midwest Banks
RESI,Altisource Residential Corporation ,Financial,REIT - Residential
SCIN,EGShares India Small Cap ETF,Global Equity ETF,
CALA,Calithera Biosciences Inc.,Healthcare,Biotechnology
ESPR,Esperion Therapeutics Inc. ,Healthcare,Biotechnology
MDCO,The Medicines Company ,Healthcare,Drug Manufacturers - Other
IDXX, IDEXX Laboratories  Inc. ,Healthcare,Diagnostic Substances
GKOS,Glaukos Corporation,Healthcare,Medical Instruments & Supplies
MTD,Mettler-Toledo International I ,Healthcare,Medical Instruments & Supplies
ADES,ADA-ES Inc. ,Industrial Goods,Pollution & Treatment Controls
MMAC,MMA Capital Management LLC,N/A,N/A
SLMBP,SLM Corporation ,N/A,N/A
INR,Market Vectors Indian Rupee/USD ETN ,N/A,N/A
DPZ,Domino's Pizza Inc Common ,Services,Restaurants
NYT,New York Times Company (The) Co ,Services,Publishing - Newspapers
SNPS,Synopsys Inc. ,Technology,Semiconductor Equipment & Materials
KLIC,Kulicke and Soffa Industries I ,Technology,Semiconductor Equipment & Materials
SEV, Sevcon  Inc. ,Technology,Semiconductor - Integrated Circuits
CDW,CDW Corporation ,Technology,Information Technology Services
MSCI,MSCI Inc Common ,Technology,Application Software
TGS,Transportadora de Gas del Sur S ,Utilities,Gas Utilities
