ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
PRTK,Paratek Pharmaceuticals Inc. ,Healthcare,Biotechnology
CLNT, Cleantech Solutions Internation ,Industrial Goods,Metal Fabrication
GFA,Gafisa SA Gafisa S.A. American  ,Industrial Goods,Residential Construction
EML,Eastern Company (The) ,Industrial Goods,Small Tools & Accessories
ECC,Eagle Point Credit Company Inc.,N/A,N/A
GRR, Asia Tigers Fund  Inc. (The) Co ,N/A,N/A
MTSI, M/A-COM Technology Solutions Ho ,N/A,N/A
LVNTA, Liberty Interactive Corporation ,N/A,N/A
HRMNU,Harmony Merger Corp.,N/A,N/A
GJR, Synthetic Fixed-Income Securiti ,N/A,N/A
LYV,Live Nation Entertainment Inc. ,Services,Entertainment - Diversified
PNRA,Panera Bread Company ,Services,Specialty Eateries
LL,Lumber Liquidators Holdings In ,Services,Home Improvement Stores
NORD,Nord Anglia Education Inc. ,Services,Education & Training Services
CLCT,Collectors Universe Inc. ,Services,Business Services
GNCMA,General Communication Inc. ,Technology,Long Distance Carriers
