ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
TSO,Tesoro Corporation Common ,Basic Materials,Oil & Gas Refining & Marketing
GPT,Gramercy Property Trust Inc. ,Financial,REIT - Diversified
STT, State Street Corporation Common ,Financial,Regional - Northeast Banks
TPRE,Third Point Reinsurance Ltd. ,Financial,Property & Casualty Insurance
FSFG,First Savings Financial Group  ,Financial,Regional - Midwest Banks
TSBK, Timberland Bancorp  Inc. ,Financial,Savings & Loans
XHR,Xenia Hotels & Resorts Inc. Co,Financial,REIT - Hotel/Motel
DFT,Dupont Fabros Technology Inc.  ,Financial,Property Management
UNB,Union Bankshares Inc. ,Financial,Regional - Northeast Banks
PEBK, Peoples Bancorp of North Caroli ,Financial,Regional - Mid-Atlantic Banks
LHCG,LHC Group ,Healthcare,Home Health Care
SHW,Sherwin-Williams Company (The)  ,Industrial Goods,General Building Materials
NRCIA,National Research Corp. ,N/A,N/A
GDOT,Green Dot Corporation Class A C ,Services,Business Services
CMTL,Comtech Telecommunications Corp ,Technology,Communication Equipment
YORW,The York Water Company ,Utilities,Water Utilities
CTWS,Connecticut Water Service Inc. ,Utilities,Water Utilities
