ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
DLA,Delta Apparel Inc. Common Stoc ,Consumer Goods,Textile - Apparel Clothing
WBKC, Wolverine Bancorp  Inc. ,Financial,Money Center Banks
CUBN,Commerce Union Bancshares  Inc.,Financial,Regional - Southeast Banks
EGP,EastGroup Properties Inc. Comm ,Financial,REIT - Industrial
MMC,Marsh & McLennan Companies Inc ,Financial,Insurance Brokers
PGR,Progressive Corporation (The) C ,Financial,Property & Casualty Insurance
NWFL,Norwood Financial Corp. ,Financial,Regional - Northeast Banks
OMER,Omeros Corporation ,Healthcare,Biotechnology
GLMD,Galmed Pharmaceuticals Ltd. ,Healthcare,Biotechnology
RXDX,Ignyta Inc. ,Healthcare,Biotechnology
MAS,Masco Corporation Common ,Industrial Goods,General Building Materials
DMO, Western Asset Mortgage Defined  ,N/A,N/A
HRB, H&R Block  Inc. Common ,Services,Personal Services
CARB, Carbonite  Inc. ,Services,Business Services
MYGN,Myriad Genetics Inc. ,Services,Research Services
