ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
XRX,Xerox Corporation Common ,Consumer Goods,Business Equipment
PPT, Putnam Premier Income Trust Com ,Financial,Closed-End Fund - Debt
AON,Aon plc Class A Ordinary Shares ,Financial,Insurance Brokers
IVR,INVESCO MORTGAGE CAPITAL INC Co ,Financial,Mortgage Investment
TBBK,The Bancorp Inc. ,Financial,Regional - Mid-Atlantic Banks
NWFL,Norwood Financial Corp. ,Financial,Regional - Northeast Banks
PTCT,PTC Therapeutics Inc. ,Healthcare,Biotechnology
VAR,Varian Medical Systems Inc. Co ,Healthcare,Medical Appliances & Equipment
OMER,Omeros Corporation ,Healthcare,Biotechnology
ARR, ARMOUR Residential REIT  Inc. ,N/A,N/A
SIEN,Sientra Inc.,N/A,N/A
RUN,Sunrun,N/A,N/A
NGE,Global X Nigeria Index ETF ,N/A,N/A
MYGN,Myriad Genetics Inc. ,Services,Research Services
CMTL,Comtech Telecommunications Corp ,Technology,Communication Equipment
