ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
DDM,ProShares Ultra Dow30 ETF,Commodity Based ETF,
CHN, China Fund  Inc. (The) Common S ,Financial,Closed-End Fund - Foreign
KMPR, Kemper Corporation ,Financial,Property & Casualty Insurance
RVSB,Riverview Bancorp Inc ,Financial,Savings & Loans
TPL,Texas Pacific Land Trust Common ,Financial,Real Estate Development
BSD, BlackRock Strategic Municipal T ,Financial,Closed-End Fund - Debt
CINF,Cincinnati Financial Corporatio ,Financial,Property & Casualty Insurance
ALL,Allstate Corporation (The) Comm ,Financial,Property & Casualty Insurance
COPX,Global X Copper Miners ETF,Global Equity ETF,
CMCO,Columbus McKinnon Corporation ,Industrial Goods,Farm & Construction Machinery
ERO,iPath EUR/USD Exchange Rate ETN ,N/A,N/A
TDW,Tidewater Inc. Common ,Services,Shipping
MGRC,McGrath RentCorp ,Services,Rental & Leasing Services
PLUS,ePlus inc. ,Technology,Business Software & Services
DIA,SPDR Dow Jones Industrial Average ETF,US Equity ETF,
