ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
SQM,Sociedad Quimica y Minera S.A.  ,Basic Materials,Chemicals - Major Diversified
JOUT,Johnson Outdoors Inc. ,Consumer Goods,Sporting Goods
EL,Estee Lauder Companies Inc. (T ,Consumer Goods,Personal Products
RL,Ralph Lauren Corporation Common ,Consumer Goods,Textile - Apparel Clothing
TREE,Tree.com Inc. ,Financial,Mortgage Investment
APO, Apollo Global Management  LLC C ,Financial,Diversified Investments
MAIN,Main Street Capital Corporation ,Financial,Diversified Investments
BAP,Credicorp Ltd. Common ,Financial,Money Center Banks
FEMS,First Trust Emerging Markets SC AlphaDEX ETF,Global Equity ETF,
HUM, Humana Inc. Common ,Healthcare,Health Care Plans
PLPC,Preformed Line Products Company ,Industrial Goods,Industrial Electrical Equipment
BLD,TopBuild Corp.,Industrial Goods,General Building Materials
MNTX,Manitex International Inc. ,Industrial Goods,Diversified Machinery
MTW,Manitowoc Company Inc. (The) C ,Industrial Goods,Farm & Construction Machinery
LMT,Lockheed Martin Corporation Com ,Industrial Goods,Aerospace/Defense Products & Services
CPER,United States Copper ,N/A,N/A
JOBS,51job Inc. ,Services,Staffing & Outsourcing Services
KORS,Michael Kors Holdings Limited O ,Services,Apparel Stores
MYGN,Myriad Genetics Inc. ,Services,Research Services
WTW,Weight Watchers International I ,Services,Personal Services
GRUB,GrubHub Inc. ,Technology,Internet Information Providers
VG,Vonage Holdings Corp. Common St ,Technology,Diversified Communication Services
EBIX,Ebix Inc ,Technology,Business Software & Services
BITA,Bitauto Holdings Limited Americ ,Technology,Internet Information Providers
SHOR,ShoreTel Inc. ,Technology,Communication Equipment
NXPI,NXP Semiconductors N.V. ,Technology,Semiconductor - Broad Line
IO,Ion Geophysical Corporation Com ,Technology,Scientific & Technical Instruments
LDR,Landauer Inc. Common ,Technology,Scientific & Technical Instruments
PDVW,Pacific DataVision Inc.,Technology,Application Software
ITA,iShares Dow Jones U.S. Aerospace & Defense Index Fund ETF,US Equity ETF,
