ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
STS,Supreme Industries Inc. Common ,Consumer Goods,Trucks & Other Vehicles
SNHY,Sun Hydraulics Corporation ,Industrial Goods,Industrial Equipment & Components
MTW,Manitowoc Company Inc. (The) C ,Industrial Goods,Farm & Construction Machinery
SMED,Sharps Compliance Corp ,Industrial Goods,Waste Management
KORS,Michael Kors Holdings Limited O ,Services,Apparel Stores
MED,MEDIFAST INC Common ,Services,Specialty Retail Other
WTW,Weight Watchers International I ,Services,Personal Services
VG,Vonage Holdings Corp. Common St ,Technology,Diversified Communication Services
LDR,Landauer Inc. Common ,Technology,Scientific & Technical Instruments
PDVW,Pacific DataVision Inc.,Technology,Application Software
ATHM,Autohome Inc. ,Technology,Internet Information Providers
