ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
DUG,ProShares UltraShort Oil & Gas ETF,Commodity Based ETF,
RTRX,Retrophin Inc. ,Healthcare,Drug Manufacturers - Major
SKY,Skyline Corporation Common Stoc ,Industrial Goods,Manufactured Housing
MTW,Manitowoc Company Inc. (The) C ,Industrial Goods,Farm & Construction Machinery
FOIL,iPath Pure Beta Aluminum ETN ,N/A,N/A
ERY, Direxion Energy Bear 3X Shares ,N/A,N/A
JP,Jupai Holdings Limited,N/A,N/A
VBLT,Vascular Biogenics Ltd.,N/A,N/A
VNTV, Vantiv  Inc. Class A Common Sto ,Services,Business Services
HLG,Hailiang Education Group Inc.,Services,Education & Training Services
MED,MEDIFAST INC Common ,Services,Specialty Retail Other
