ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
AGU,Agrium Inc. Common ,Basic Materials,Agricultural Chemicals
ALV,Autoliv Inc. Common ,Consumer Goods,Auto Parts
GRIF,Griffin Land & Nurseries Inc. ,Consumer Goods,Farm Products
LEA,Lear Corporation Common ,Consumer Goods,Auto Parts
GCBC, Greene County Bancorp  Inc. ,Financial,Savings & Loans
BRT,BRT Realty Trust Common ,Financial,Mortgage Investment
WST,West Pharmaceutical Services I ,Healthcare,Medical Instruments & Supplies
HALO, Halozyme Therapeutics  Inc. ,Healthcare,Biotechnology
ANIK,Anika Therapeutics Inc. ,Healthcare,Biotechnology
ERJ,Embraer S.A. Common ,Industrial Goods,Aerospace/Defense Products & Services
PLPC,Preformed Line Products Company ,Industrial Goods,Industrial Electrical Equipment
TEX,Terex Corporation Common ,Industrial Goods,Farm & Construction Machinery
OFLX,Omega Flex Inc. ,Industrial Goods,Industrial Equipment & Components
FXB, Rydex CurrencyShares British Po ,N/A,N/A
UNP,Union Pacific Corporation Commo ,Services,Railroads
GRVY,GRAVITY Co. Ltd. ,Technology,Multimedia & Graphics Software
KE,Kimball Electronics Inc.,Technology,Diversified Electronics
