ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
VHI,Valhi Inc. Common ,Basic Materials,Synthetics
UMDD,ProShares UltraPro MidCap400 ETF,Commodity Based ETF,
THO,Thor Industries Inc. Common St ,Consumer Goods,Recreational Vehicles
KMPR, Kemper Corporation ,Financial,Property & Casualty Insurance
CART,Carolina Trust Bank ,Financial,Regional - Mid-Atlantic Banks
HIFS, Hingham Institution for Savings ,Financial,Savings & Loans
BLK,BlackRock Inc,Financial,Asset Management
FCB,FCB Financial Holdings Inc. Cl,Financial,Regional - Southeast Banks
OPY,Oppenheimer Holdings Inc. Clas ,Financial,Investment Brokerage - Regional
SNA,Snap-On Incorporated Common Sto ,Industrial Goods,Small Tools & Accessories
MHO,M/I Homes Inc. Common ,Industrial Goods,Residential Construction
LII,Lennox International Inc. Comm ,Industrial Goods,Diversified Machinery
DE,Deere & Company Common ,Industrial Goods,Farm & Construction Machinery
ITW,Illinois Tool Works Inc. Common ,Industrial Goods,Diversified Machinery
GF, New Germany Fund  Inc. (The) Co ,N/A,N/A
UNFI,United Natural Foods Inc. ,Services,Food Wholesale
NGVC, Natural Grocers by Vitamin Cott ,Services,Grocery Stores
AZO,AutoZone Inc. Common ,Services,Auto Parts Stores
AMN,AMN Healthcare Services Inc AMN ,Services,Staffing & Outsourcing Services
ALGT,Allegiant Travel Company ,Services,Regional Airlines
CTRN,Citi Trends Inc. ,Services,Apparel Stores
DLTR,Dollar Tree Inc. ,Services,Discount Variety Stores
TYPE,Monotype Imaging Holdings Inc. ,Technology,Application Software
PDFS,PDF Solutions Inc. ,Technology,Technical & System Software
MDY,SPDR S&P MidCap 400 ETF,US Equity ETF,
IJJ,iShares S&P MidCap 400 Value Index Fund ETF,US Equity ETF,
