ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
OMN,OMNOVA Solutions Inc. Common St ,Basic Materials,Specialty Chemicals
MLHR,Herman Miller Inc. ,Consumer Goods,Business Equipment
IMH, Impac Mortgage Holdings  Inc. C ,Financial,Mortgage Investment
NSEC,National Security Group Inc. ,Financial,Property & Casualty Insurance
BANC, First PacTrust Bancorp  Inc. ,Financial,Regional - Pacific Banks
OAK, Oaktree Capital Group  LLC Clas ,Financial,Asset Management
TROW,T. Rowe Price Group Inc. ,Financial,Asset Management
WST,West Pharmaceutical Services I ,Healthcare,Medical Instruments & Supplies
JKS,JinkoSolar Holding Company Limi ,Industrial Goods,Industrial Electrical Equipment
PNI, Pimco New York Municipal Income ,N/A,N/A
NDLS,Noodles & Company ,Services,Restaurants
HMHC,HMH Holdings (Delaware) Inc. ,Services,Education & Training Services
FWRD,Forward Air Corporation ,Services,Air Delivery & Freight Services
SFLY,Shutterfly Inc. ,Technology,Internet Information Providers
