ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
IFF, Internationa Flavors & Fragranc ,Basic Materials,Specialty Chemicals
SDOW,ProShares UltraPro Short Dow30 ETF,Commodity Based ETF,
DXD,ProShares UltraShort Dow30 ETF,Commodity Based ETF,
KRS,ProShares Short KBW Regional Banking ETF,Commodity Based ETF,
SIJ,ProShares UltraShort Industrials ETF,Commodity Based ETF,
SKF,ProShares UltraShort Financials ETF,Commodity Based ETF,
SBB,ProShares Short SmallCap600 ETF,Commodity Based ETF,
DOG,ProShares Short Dow30 ETF,Commodity Based ETF,
COTY,Coty Inc. ,Consumer Goods,Personal Products
INGR, Ingredion Incorporated Common S ,Consumer Goods,Processed & Packaged Goods
PM,Philip Morris International Inc ,Consumer Goods,Cigarettes
KHC,The Kraft Heinz Company,Consumer Goods,Food - Major Diversified
CIB,BanColombia S.A. Common ,Financial,Foreign Regional Banks
CMF,iShares S&P Cali Muni Bond ETF,Fixed Income ETF,
TLT,iShares Barclays 20 Year Treasury Bond Fund ETF,Fixed Income ETF,
EMB,iShares JP Morgan Em Bond Fd ETF,Fixed Income ETF,
LTPZ,PIMCO 15+ Year U.S. TIPS Index Fund ETF,Fixed Income ETF,
CEMP, Cempra  Inc. ,Healthcare,Biotechnology
AAC,AAC Holdings Inc. Common,Healthcare,Specialized Health Services
NBB, Nuveen Build America Bond Fund  ,N/A,N/A
WEA, Western Asset Bond Fund Share o ,N/A,N/A
FAZ, Direxion Financial Bear 3X Shar ,N/A,N/A
INDL, Direxion Daily India Bull 3x Sh ,N/A,N/A
IGI, Western Asset Investment Grade  ,N/A,N/A
SSWN,Seaspan Corporation 6.375% Note ,N/A,N/A
MDCA,MDC Partners Inc. ,NULL,NULL
ISP,ING Groep NV 6.20% Perpetual De ,NULL,NULL
SSW,Seaspan Corporation Seaspan Cor ,Services,Shipping
BABA,Alibaba Group Holding Limited A,Services,Specialty Retail Other
SBAC,SBA Communications Corporation ,Services,Rental & Leasing Services
TRIP, TripAdvisor  Inc. ,Technology,Internet Information Providers
BNFT,Benefitfocus Inc. ,Technology,Application Software
NTT, Nippon Telegraph and Telephone  ,Technology,Telecom Services - Foreign
DNB,Dun & Bradstreet Corporation (T ,Technology,Information & Delivery Services
AMT,American Tower Corporation (REI ,Technology,Diversified Communication Services
FIT,Fitbit Inc.,Technology,Scientific & Technical Instruments
CAFD,8point3 Energy Partners LP,Utilities,Diversified Utilities
