ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
VIXM,ProShares VIX Mid-Term Futures ETF,Commodity Based ETF,
UEIC,Universal Electronics Inc. ,Consumer Goods,Electronic Equipment
BWINB,Baldwin & Lyons Inc. ,Financial,Property & Casualty Insurance
PEI,Pennsylvania Real Estate Invest ,Financial,REIT - Retail
PLD,ProLogis Inc. Common ,Financial,REIT - Industrial
DRE,Duke Realty Corporation Common  ,Financial,REIT - Office
AMPH,Amphastar Pharmaceuticals Inc.,Healthcare,Drug Manufacturers - Other
MATW,Matthews International Corporat ,Industrial Goods,Metal Fabrication
TVIZ, VelocityShares Daily 2x VIX Med ,N/A,N/A
WATT,Energous Corporation ,N/A,N/A
VIIZ, VelocityShares VIX Medium Term  ,N/A,N/A
BOS, PowerShares DB Base Metals Shor ,N/A,N/A
ICI, iPath iPath Optimized Currency  ,N/A,N/A
VXZ, iPath S&P 500 VIX Mid-Term Futu ,N/A,N/A
DIN,DineEquity Inc Common ,Services,Restaurants
EVC,Entravision Communications Corp ,Services,Broadcasting - TV
NORD,Nord Anglia Education Inc. ,Services,Education & Training Services
CORE,Core-Mark Holding Company Inc. ,Services,Grocery Stores
TRCO,Tribune Media Company Class A C,Services,Publishing - Newspapers
