ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
EEQ,Enbridge Energy Management LLC  ,Basic Materials,Independent Oil & Gas
DOG,ProShares Short Dow30 ETF,Commodity Based ETF,
STRT,Strattec Security Corporation ,Consumer Goods,Auto Parts
TBBK,The Bancorp Inc. ,Financial,Regional - Mid-Atlantic Banks
MTRX,Matrix Service Company ,Industrial Goods,Heavy Construction
NC,NACCO Industries Inc. Common S ,Industrial Goods,Farm & Construction Machinery
EEI,Ecology and Environment Inc. ,Industrial Goods,Waste Management
MLPS, UBS AG  1xMonthly Short Exchang ,N/A,N/A
CATM,Cardtronics Inc. ,Services,Business Services
CORE,Core-Mark Holding Company Inc. ,Services,Grocery Stores
CAB,Cabela's Inc Class A Common Sto ,Services,Sporting Goods Stores
NTN,NTN Buzztime Inc. Common ,Services,Broadcasting - TV
FIT,Fitbit Inc.,Technology,Scientific & Technical Instruments
ECOM,ChannelAdvisor Corporation ,Technology,Application Software
