ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
WOR,Worthington Industries Inc. Co ,Basic Materials,Steel & Iron
SBM,ProShares Short Basic Materials ETF,Commodity Based ETF,
EPC,Edgewell Personal Care Company,Consumer Goods,Personal Products
CPS,Cooper-Standard Holdings Inc. ,Consumer Goods,Auto Parts
BWA,BorgWarner Inc. Common ,Consumer Goods,Auto Parts
HMC, Honda Motor Company  Ltd. Commo ,Consumer Goods,Auto Manufacturers - Major
TM,Toyota Motor Corporation Common ,Consumer Goods,Auto Manufacturers - Major
ALV,Autoliv Inc. Common ,Consumer Goods,Auto Parts
SAR, Saratoga Investment Corp New ,Financial,Closed-End Fund - Equity
ACOR,Acorda Therapeutics Inc. ,Healthcare,Biotechnology
SOYB, Teucrium Soybean Fund ETV ,N/A,N/A
GPI,Group 1 Automotive Inc. Common ,Services,Auto Dealerships
GCO,Genesco Inc. Common ,Services,Apparel Stores
SNX,Synnex Corporation Common ,Services,Business Services
VISI,Volt Information Sciences Inc.,Services,Staffing & Outsourcing Services
ROST,Ross Stores Inc. ,Services,Apparel Stores
UEPS,Net 1 UEPS Technologies Inc. ,Services,Business Services
KAR,KAR Auction Services Inc Commo ,Services,Auto Dealerships
CLFD,Clearfield Inc. ,Technology,Communication Equipment
