ticker,name,sector,price_date, close_price, macd,stoch,RSI, dma_20_sd, bollinger
NRP,Natural Resources Partners LP ,Basic Materials,Industrial Metals & Minerals
GNTX,Gentex Corporation ,Consumer Goods,Auto Parts
REV,Revlon Inc. New Common ,Consumer Goods,Personal Products
TIS,Orchids Paper Products Company  ,Consumer Goods,Paper & Paper Products
NKE,Nike Inc. Common ,Consumer Goods,Textile - Apparel Footwear & Accessories
RL,Ralph Lauren Corporation Common ,Consumer Goods,Textile - Apparel Clothing
CRI,Carter's Inc. Common ,Consumer Goods,Textile - Apparel Clothing
UFAB,Unique Fabricating  Inc.,Consumer Goods,Auto Parts
OME,Omega Protein Corporation Commo ,Consumer Goods,Processed & Packaged Goods
AFSI,AmTrust Financial Services Inc ,Financial,Property & Casualty Insurance
SKT,Tanger Factory Outlet Centers  ,Financial,REIT - Retail
CBL,CBL & Associates Properties In ,Financial,REIT - Retail
PEI,Pennsylvania Real Estate Invest ,Financial,REIT - Retail
HNNA,Hennessy Advisors Inc. ,Financial,Asset Management
AMGN,Amgen Inc. ,Healthcare,Biotechnology
PFIN,P & F Industries Inc. ,Industrial Goods,Small Tools & Accessories
SVT, Servotronics  Inc. Common ,Industrial Goods,Industrial Electrical Equipment
TWIN,Twin Disc Incorporated ,Industrial Goods,Diversified Machinery
JP,Jupai Holdings Limited,N/A,N/A
WHLRP,Wheeler Real Estate Investment ,N/A,N/A
PHIIK,PHI Inc. ,NULL,NULL
GWW, W.W. Grainger  Inc. Common Stoc ,Services,Industrial Equipment Wholesale
TIME,Time Inc. Common,Services,Publishing - Periodicals
PIR,Pier 1 Imports Inc. Common Sto ,Services,Home Furnishing Stores
TAST,Carrols Restaurant Group Inc. ,Services,Restaurants
FL,Footlocker Inc. ,Services,Apparel Stores
GCO,Genesco Inc. Common ,Services,Apparel Stores
HTZ, Hertz Global Holdings  Inc Comm ,Services,Rental & Leasing Services
HUBG, Hub Group  Inc. ,Services,Air Delivery & Freight Services
AEO,American Eagle Outfitters Inc. ,Services,Apparel Stores
SSP,E.W. Scripps Company (The) Comm ,Services,Publishing - Newspapers
KIRK,Kirkland's Inc. ,Services,Home Furnishing Stores
CHS,Chico's FAS Inc. Common ,Services,Apparel Stores
ACXM,Acxiom Corporation ,Technology,Information Technology Services
EBIX,Ebix Inc ,Technology,Business Software & Services
AKAM,Akamai Technologies Inc. ,Technology,Internet Information Providers
