
price_date, close_price, signalstrength,sma_3_3_stc_osci_14,rsi_14, dma_20_top, dma_20_bottom, dma_20_sd, bollidif
MON,2015-09-25,84.51,-0.518620491027832,8.55831,24.7506,102.156517028809,81.1554794311523,5.25026
MYL,2015-09-25,43.61,-0.652486324310303,18.2539,25.1512,54.3635315895081,41.7414717674255,3.15551
ABBV,2015-09-25,55.74,-0.472316741943359,14.5296,28.8815,67.466739654541,51.8912620544434,3.89387
HYG,2015-09-25,84.07,-0.351544857025146,6.56056,24.7131,87.1731836795807,84.5058171749115,0.666842
ALXN,2015-09-25,149.25,-2.55153656005859,14.0727,23.5162,185.650247573853,150.703756332397,8.73662
CAT,2015-09-25,64.98,-1.58722019195557,8.36227,25.7762,79.0773429870605,66.6206550598145,3.11417
PRGO,2015-09-25,160.9,-3.14589786529541,12.9348,25.0036,192.796238899231,162.837763786316,7.48962
VRTX,2015-09-25,103.28,-4.75323963165283,10.4587,26.5379,144.591833114624,107.349161148071,9.31067
ABT,2015-09-25,40.86,-0.307491540908813,13.1022,27.751,48.446747303009,38.4852519035339,2.49037
CBS,2015-09-25,40.77,-0.228124141693115,12.0049,25.4997,48.0039758682251,38.6390218734741,2.34124
DE,2015-09-25,75.81,-0.468103885650635,14.1576,26.7355,90.0707550048828,69.3192443847656,5.18788
TWX,2015-09-24,67.62,-0.0304150581359863,16.0167,29.4016,77.2926607131958,63.2203397750854,3.51808
HYG,2015-09-24,84.5,-0.29995059967041,12.2693,27.8762,87.0251327753067,84.8748611211777,0.537568
ALXN,2015-09-24,157.05,-1.42950820922852,13.3252,28.9282,185.210401535034,154.200609207153,7.75245
CAT,2015-09-24,65.8,-1.3144052028656,10.7955,27.0024,78.5519061088562,68.2141003608704,2.58445
PPG,2015-09-24,88.11,-0.938625335693359,18.2843,29.3515,102.182438850403,85.7075605392456,4.11872
CBS,2015-09-24,40.89,-0.206938028335571,12.37,25.8943,48.3787698745728,38.7132329940796,2.41638
DE,2015-09-24,75.76,-0.437886714935303,15.0182,26.4622,90.9541215896606,69.09388256073,5.46506
MON,2015-09-24,83.95,-0.842879295349121,5.62964,22.1444,102.40311050415,82.2978935241699,5.0263
MYL,2015-09-24,45.56,-0.388473510742188,27.9407,29.633,54.5545468330383,42.3384509086609,3.05402
CBS,2015-09-23,41.67,-0.0417044162750244,13.8854,28.5615,48.9104127883911,38.5275831222534,2.59571
MON,2015-09-23,84.38,-0.867156028747559,4.21946,22.705,102.484424591064,83.5295677185059,4.73871
MON,2015-09-22,86.5,-0.618076324462891,5.37988,25.682,103.374303817749,83.1437015533447,5.05765
MON,2015-09-21,87.67,-0.556632995605469,7.07291,27.5319,103.934693336487,83.2883138656616,5.16159
MON,2015-09-18,88.1,-0.552009105682373,8.85892,28.2257,104.291916847229,83.9110860824585,5.09521
DG,2015-09-14,69.1,-0.488218784332275,8.90213,28.8852,82.1299862861633,66.7750124931335,3.83874
SRE,2015-09-14,90.31,-0.218417167663574,6.20661,27.1255,108.412755966187,84.6722354888916,5.93513
SRE,2015-09-11,90.32,-0.395612716674805,7.9431,27.1447,109.040122032166,85.6268701553345,5.85331
SRE,2015-09-10,90.09,-0.518365859985352,11.209,26.023,109.461842536926,86.6811628341675,5.69517
DG,2015-09-10,69.9,-0.41608738899231,18.2419,29.3801,82.4028072357178,68.3981876373291,3.50115
VTR,2015-09-09,52.85,-0.0522489547729492,4.91143,25.3668,71.2170066833496,45.9949913024902,6.3055
SRE,2015-09-09,91.48,-0.371581554412842,12.8458,28.4841,109.787511825562,87.8794803619385,5.47701
VTR,2015-09-08,53.61,-0.0681910514831543,4.4353,26.9368,71.7050676345825,46.9699354171753,6.18378
NEE,2015-09-04,94.62,-1.2785439491272,4.76937,24.4108,114.54212474823,92.529881477356,5.50306
DE,2015-09-04,79.22,-0.0202422142028809,21.4217,27.8963,100.979617118835,72.7393770217896,7.06006
PX,2015-09-04,101.44,-0.31462287902832,14.7821,25.7895,118.745220184326,98.2617835998535,5.12086
HCN,2015-09-04,61.42,-0.504987001419067,10.8072,29.9401,71.4781422615051,60.7018504142761,2.69407
SRE,2015-09-04,92.64,-0.684370994567871,9.3891,29.9969,109.948984146118,89.7950191497803,5.03849
VTR,2015-09-04,53.1,-0.239823818206787,3.32291,24.006,72.1049642562866,47.8860330581665,6.05473
PX,2015-09-03,103.01,-0.207708358764648,20.3875,28.5506,118.877694129944,99.3002996444702,4.89435
MYL,2015-09-03,47.42,-0.144736766815186,29.2135,25.9194,60.823314666748,44.3406867980957,4.12066
VTR,2015-09-03,54.45,-0.167728424072266,3.87256,26.6318,72.449670791626,48.9713268280029,5.86959
NEE,2015-09-03,95.17,-1.58977222442627,6.82342,25.3107,114.493787765503,93.8162097930908,5.16939
SRE,2015-09-02,92,-1.51093149185181,11.2751,25.2442,109.713625907898,91.6353731155396,4.51956
VTR,2015-09-02,54.45,-0.362267971038818,5.92221,26.6318,72.7596349716187,49.9153604507446,5.71107
NEE,2015-09-02,95.04,-1.93415403366089,11.0611,24.7015,114.247592926025,95.1204032897949,4.7818
PX,2015-09-02,102.95,-0.383781433105469,27.288,28.2781,119.058017730713,100.152980804443,4.72626
DE,2015-09-01,80,-0.408106803894043,25.7695,27.057,102.104984283447,76.2120170593262,6.47324
SRE,2015-09-01,92.22,-1.58214497566223,16.3276,25.5841,109.276612281799,92.9413900375366,4.08381
VTR,2015-09-01,54.27,-0.535925388336182,9.18399,25.6974,72.9477024078369,50.9252986907959,5.5056
NEE,2015-09-01,95.35,-1.96947240829468,16.606,25.1558,113.829398155212,96.6306085586548,4.2997
ANTM,2015-09-01,138.06,-0.584972381591797,26.4596,29.6153,159.347233772278,135.419764518738,5.98187
INTU,2015-09-01,84.1,-0.488646507263184,21.8861,27.1886,117.512273788452,76.5947208404541,10.2294
INTU,2015-08-31,85.75,-0.730062484741211,19.3338,28.871,117.749671936035,78.5063247680664,9.81084
DE,2015-08-31,81.78,-0.356697559356689,24.3304,29.7582,102.114016532898,77.5139894485474,6.15001
VTR,2015-08-31,55.02,-0.529764652252197,10.0586,27.0293,73.0493955612183,52.072606086731,5.2442
INTU,2015-08-28,86.21,-1.46702194213867,14.3367,29.341,117.91974067688,80.266263961792,9.41337
INTU,2015-08-27,86.6,-2.63193607330322,10.9003,29.7219,117.9948387146,82.147159576416,8.96192
PX,2015-08-27,105.19,-1.0571985244751,19.3031,28.3538,119.405347824097,103.533647537231,3.96793
CBS,2015-08-26,44.35,-0.589096546173096,17.0074,25.8765,56.3023419380188,42.4036593437195,3.47467
DVN,2015-08-26,38.45,-1.00642347335815,4.13196,25.4044,54.789966583252,36.037036895752,4.68823
PPG,2015-08-26,93.1,-1.72618436813354,4.19989,29.2627,113.786936759949,91.7250566482544,5.51547
YHOO,2015-08-26,32.52,-0.389439821243286,21.1846,24.9099,39.8718910217285,30.8981056213379,2.24345
AFL,2015-08-26,56.92,-1.43856978416443,22.9407,29.6303,68.8507599830627,56.261239528656,3.14738
CSX,2015-08-26,26.37,-0.470294713973999,15.4389,26.3974,32.9776680469513,25.6133315563202,1.84108
MS,2015-08-26,33.3,-0.796275615692139,14.2536,28.3932,41.9620432853699,32.4179539680481,2.38602
PX,2015-08-26,104.05,-1.70272779464722,16.2411,22.9396,119.410219669342,104.436780452728,3.74336
