ENDP,Endo Health Solutions Inc. ,12.25,11.56,-5.97
KSS,Kohl's Corporation Common ,41.34,39.15,-5.59
AAL,American Airlines Group Inc. ,46.82,44.58,-5.02
FTR,Frontier Communications Corpora ,2.87,2.74,-4.74
RIG,Transocean Ltd (Switzerland) Co ,13.53,12.935,-4.60
M,Macy's Inc Common ,31.77,30.4092,-4.47
UAL,United Continental Holdings ,75.59,72.38,-4.43
FSLR,First Solar Inc. ,34.61,33.31,-3.90
NEM,Newmont Mining Corporation (Hol ,34.07,32.915,-3.51
DAL,Delta Air Lines Inc. (New) Comm ,50.13,48.45,-3.47
NAVI,Navient Corporation ,14.905,14.42,-3.36
FCX,Freeport-McMoRan Copper & Gold ,13.2,12.785,-3.25
JWN,Nordstrom Inc. Common ,46.35,44.96,-3.09
ADSK,Autodesk Inc. ,85.32,82.77,-3.08
IP,International Paper Company Com ,54,52.42,-3.01
SWN,Southwestern Energy Company Com ,7.71,7.995,3.56
RRC,Range Resources Corporation Com ,27.34,28.7,4.74
