ABBV,AbbVie Inc. 
PPG,PPG Industries Inc. Common Sto 
WBA,Walgreens Boots Alliance Inc.
GLD, SPDR Gold Trust 
KMI, Kinder Morgan  Inc. Common Stoc 
PRGO,Perrigo Company 
YHOO,Yahoo! Inc. 
HAL, Halliburton Company Common Stoc 
EMC,EMC Corporation Common 
EEM,iShares MSCI Emerging Index Fund ETF
MPC, Marathon Petroleum Corporation  
TWX,Time Warner Inc. New Common Sto 
FB, Facebook  Inc. 
EMR,Emerson Electric Company Common 
SBUX,Starbucks Corporation 
ALXN,Alexion Pharmaceuticals Inc. 
CMG,Chipotle Mexican Grill Inc. Co 
SPG,Simon Property Group Inc. Comm 
INTU,Intuit Inc. 
YUM,Yum! Brands Inc. 
AGN,Allergan Inc. Common 
CCI,Crown Castle International Corp 
LUV,Southwest Airlines Company Comm 
GILD,Gilead Sciences Inc. 
APD,Air Products and Chemicals Inc 
BIIB,Biogen Idec Inc. 
AVB,AvalonBay Communities Inc. Com 
COP,ConocoPhillips Common 
PSX, Phillips 66 Common 
FDX,FedEx Corporation Common 
TWC,Time Warner Cable Inc Common St 
SPY,SPDR S&P 500 ETF
HUM, Humana Inc. Common 
COF,Capital One Financial Corporati 
AMZN,Amazon.com Inc. 
RTN,Raytheon Company Common 
AAL,American Airlines Group Inc. 
APC,Anadarko Petroleum Corporation  
ALL,Allstate Corporation (The) Comm 
SLB,Schlumberger N.V. Common 
GM,General Motors Company Common S 
PCP,Precision Castparts Corporation 
OXY,Occidental Petroleum Corporatio 
TXN,Texas Instruments Incorporated 
VLO,Valero Energy Corporation Commo 
ETN, Eaton Corporation Common 
CL,Colgate-Palmolive Company Commo 
DVN,Devon Energy Corporation Common 
BHI,Baker Hughes Incorporated Commo 
AON,Aon plc Class A Ordinary Shares 
CVX,Chevron Corporation Common Stoc 
SCHW,Charles Schwab Corporation (The 
LOW,Lowe's Companies Inc. Common S 
ICE, IntercontinentalExchange  Inc.  
ADBE,Adobe Systems Incorporated 
LYB,LyondellBasell Industries NV Or 
