FTI,FMC Technologies Inc. Common S ,20.3746
FDO,Family Dollar Stores Inc. Comm ,22.302
NRG,NRG Energy Inc. Common ,23.8561
POM,PEPCO Holdings Inc Common ,23.8948
HP, Helmerich & Payne  Inc. Common  ,24.0152
APA,Apache Corporation Common ,24.1113
CAM,Cameron International Corporati ,24.4523
ESV,Ensco plc Class A Ordinary Shar ,24.5456
CNX,CONSOL Energy Inc. Common ,25.0758
QEP,QEP Resources Inc. Common Stoc ,26.1392
RIG,Transocean Ltd (Switzerland) Co ,26.7189
OXY,Occidental Petroleum Corporatio ,26.7619
DVN,Devon Energy Corporation Common ,27.7399
MUR,Murphy Oil Corporation Common S ,28.4422
SHW,Sherwin-Williams Company (The)  ,29.4573
RRC,Range Resources Corporation Com ,29.8546
