price_date,close_price,dma_10,dma_50,dma_200,ema_diff,ema_macd_9,signalstrength1,ema_diff_5_35,ema_macd_5,signalstrength2
2012-11-01,29.2536,28.0544,28.8577,31.0047,-0.256727,-0.349417,0.0926901698112488,,,
2012-10-31,28.13,27.935,28.8628,30.9914,-0.38784,-0.37259,-0.0152498781681061,-0.744638,-0.815502,0.0708636045455933
2012-10-26,27.38,27.855,28.9004,30.9648,-0.435074,-0.368778,-0.066295862197876,-0.933989,-0.850934,-0.0830543041229248
2012-10-25,27.52,27.881,28.9588,30.9691,-0.412704,-0.352204,-0.0605004727840424,-0.876377,-0.809407,-0.0669701099395752
2012-10-24,27.42,27.961,28.9964,30.9727,-0.392403,-0.337079,-0.0553236603736877,-0.820955,-0.775922,-0.0450329780578613
2012-10-23,28.39,28.059,29.0364,30.9736,-0.350594,-0.323248,-0.0273459553718567,-0.664635,-0.753406,0.0887709856033325
2012-10-22,27.85,28.057,29.092,30.968,-0.390919,-0.316411,-0.0745077431201935,-0.824749,-0.797791,-0.0269579887390137
2012-10-19,27.74,28.197,29.1338,30.9632,-0.381712,-0.297784,-0.0839279592037201,-0.816545,-0.784312,-0.0322338342666626
2012-10-18,28.04,28.312,29.1672,30.9601,-0.353188,-0.276802,-0.0763859748840332,-0.730949,-0.768195,0.0372456312179565
2012-10-17,28.82,28.448,29.1882,30.9585,-0.342184,-0.257705,-0.0844792723655701,-0.705868,-0.786818,0.0809502601623535
2012-10-16,28.06,28.496,29.2168,30.9548,-0.40262,-0.236585,-0.166035518050194,-0.989248,-0.827293,-0.161954998970032
2012-10-15,27.33,28.67,29.221,30.9573,-0.396503,-0.195076,-0.201427653431892,-1.075,-0.746316,-0.328682363033295
2012-10-12,27.64,28.853,29.2198,30.9643,-0.308622,-0.144719,-0.163903564214706,-0.857576,-0.581975,-0.275601863861084
2012-10-11,28.32,29.017,29.189,30.9687,-0.223555,-0.103743,-0.11981201171875,-0.623617,-0.444174,-0.179442942142487
2012-10-10,28.4,29.034,29.1476,30.9699,-0.180927,-0.0737895,-0.107137799263,-0.533838,-0.354453,-0.179385036230087
2012-10-09,28.37,28.948,29.128,30.9674,-0.131931,-0.0470051,-0.0849262252449989,-0.410749,-0.264761,-0.145988494157791
2012-10-08,29.25,28.877,29.1076,30.9644,-0.0645065,-0.0257736,-0.038732910528779,-0.189972,-0.191767,0.00179474055767059
2012-10-05,28.89,29.018,29.1128,30.956,-0.0671215,-0.0160904,-0.0510311182588339,-0.222065,-0.192664,-0.0294013172388077
2012-10-04,29.4,29.131,29.0976,30.951,-0.0328484,-0.00333261,-0.0295157502405345,-0.107567,-0.177963,0.0703961998224258
2012-10-03,29.3,29.281,29.0886,30.9428,-0.0405083,0.00404634,-0.0445546102710068,-0.147577,-0.213161,0.0655837506055832
2012-10-02,29.8,29.456,29.0994,30.9363,-0.0394573,0.015185,-0.0546423410996795,-0.162762,-0.245953,0.0831916928291321
2012-10-01,29.16,29.61,29.1166,30.9304,-0.0885487,0.0288456,-0.117394279688597,-0.402655,-0.287549,-0.115105718374252
