Symbol,Date,Open,High,Low,Close,Volume
A,20170515,56.16,56.76,56.01,56.7,1472200
AA,20170515,32.17,32.5,31.97,32.03,2384100
AAAP,20170515,36.05,36.56,35.11,36.3,56600
AAC,20170515,7.17,7.32,7.01,7.23,87900
AADR,20170515,51.25,51.25,48.93,49.17,30600
AAL,20170515,45.7,46.99,45.69,46.68,5534500
AAMC,20170515,71.95,76,69.6,73.45,4900
AAME,20170515,3.63,3.63,3.55,3.6,6800
AAN,20170515,35,35.36,34.71,34.85,373400
AAOI,20170515,65.86,66.4,63.25,64.01,3112400
AAON,20170515,36.45,36.85,36.3,36.6,85900
AAP,20170515,144.66,147.15,144.49,145.85,1097600
AAPC,20170515,10.61,10.61,10.61,10.61,200
AAPL,20170515,156.03,156.65,155.05,155.7,26009700
AAT,20170515,39.37,39.69,39.14,39.31,176900
AAU,20170515,1.48,1.48,1.3,1.36,445000
AAV,20170515,6.6,6.68,6.53,6.65,80800
AAWW,20170515,49.8,50.35,49.1,49.4,196000
AAXJ,20170515,66.19,66.43,66.15,66.43,1104600
AAXN,20170515,26.02,26.04,25.15,25.16,941000
AB,20170515,21.15,21.4,21.05,21.25,685800
ABAC,20170515,1.8,1.85,1.77,1.79,16700
ABAX,20170515,47.56,48.43,47.21,48.1,87200
ABB,20170515,24.75,24.84,24.73,24.78,1369800
ABBV,20170515,66.1,66.85,65.95,66.67,8527800
ABC,20170515,88.59,90.99,88.47,89.92,2107500
ABCB,20170515,45,45.45,44.35,45.4,227900
ABCD,20170515,5.14,5.25,5.01,5.1,53500
ABCO,20170515,51.55,52.5,51.35,52.1,247800
ABDC,20170515,14.32,14.4,14.21,14.33,18000
ABE,20170515,13.9,13.97,13.9,13.97,4000
ABEO,20170515,6.3,6.4,6.05,6.2,339500
ABEOW,20170515,3.4,3.5,3.4,3.5,1800
ABEV,20170515,6.27,6.35,6.24,6.33,48047800
ABG,20170515,56.35,57.65,56.35,57.05,163800
ABIL,20170515,0.7,0.73,0.68,0.68,7800
ABIO,20170515,2.41,2.45,2.37,2.44,4900
ABM,20170515,42.28,42.62,42.28,42.5,144700
ABMD,20170515,131.5,134.71,131.06,134.51,346400
ABR,20170515,8.03,8.15,7.98,8.02,1146400
ABR-A,20170515,25.37,25.52,25.34,25.44,2800
ABR-B,20170515,25.12,25.12,25.12,25.12,100
ABR-C,20170515,25.87,25.87,25.61,25.72,2500
ABRN,20170515,25.56,25.56,25.4,25.5,3100
ABT,20170515,43.91,44.23,43.9,44.04,4223500
ABTL,20170515,12.67,13.43,12.59,13.41,157600
ABTX,20170515,39.2,39.2,38.85,39.05,18300
ABUS,20170515,3.39,3.45,3.3,3.3,121600
ABX,20170515,17.08,17.11,16.77,16.9,9868800
ABY,20170515,20.03,20.62,19.96,20.51,638400
AC,20170515,33.95,34.6,33.85,34.6,7900
ACAD,20170515,29.23,29.39,28.16,28.53,2245200
ACBI,20170515,18.7,19.2,18.5,19.2,41800
ACC,20170515,45.38,45.81,45.24,45.45,486800
ACCO,20170515,12.25,12.35,12.1,12.2,405500
ACET,20170515,14.24,14.46,14.11,14.43,244100
