Date,Open,High,Low,Close,Volume,Adj Close
2015-07-30,44.00,44.29,43.35,43.37,786600,43.37
2015-07-29,42.97,43.90,42.72,43.65,1291000,43.65
2015-07-28,44.12,44.75,42.61,42.61,1192800,42.61
2015-07-27,43.52,44.73,43.44,44.15,863600,44.15
2015-07-24,44.84,44.93,43.52,44.00,1099000,44.00
2015-07-23,44.04,45.17,43.35,44.95,3241200,44.95
2015-07-22,44.17,44.91,43.55,43.55,1150800,43.55
2015-07-21,45.54,45.54,44.40,45.05,1358100,45.05
2015-07-20,44.42,45.32,44.40,45.25,1252400,45.25
2015-07-17,45.00,45.06,44.58,44.70,990900,44.70
2015-07-16,44.20,45.43,44.03,44.95,3463000,44.95
2015-07-15,43.26,44.49,43.26,44.34,1317100,44.34
2015-07-14,44.40,44.40,43.22,43.22,870300,43.22
2015-07-13,44.15,44.65,43.91,44.64,1154600,44.64
2015-07-10,44.17,44.17,43.52,44.08,2316700,44.08
2015-07-09,41.58,43.51,41.58,43.27,1398600,43.27
2015-07-08,41.12,41.98,40.40,41.98,1290900,41.98
2015-07-07,42.88,43.26,40.55,40.67,2157800,40.67
2015-07-06,42.90,43.73,40.75,42.80,839900,42.80
2015-07-03,43.02,44.17,43.02,43.75,1097500,43.75
2015-07-02,43.27,43.63,42.54,43.02,1144600,43.02
2015-07-01,42.78,43.40,42.50,42.88,1220600,42.88
2015-06-30,42.07,42.73,41.76,42.47,1760500,42.47
2015-06-29,42.70,42.73,41.78,41.89,1200500,41.89
2015-06-26,43.37,43.47,42.65,43.25,1418300,43.25
2015-06-25,42.13,43.51,42.13,43.51,1481000,43.51
2015-06-24,42.40,43.06,41.83,42.35,1983600,42.35
2015-06-23,42.30,43.14,42.25,42.47,1353100,42.47
2015-06-22,42.00,42.50,41.66,42.30,1141600,42.30
2015-06-19,41.62,41.97,41.28,41.50,2140600,41.50
2015-06-18,41.69,41.99,41.11,41.53,6615800,41.53
2015-06-17,41.94,42.21,41.51,41.69,2747100,41.69
2015-06-16,42.00,42.00,42.00,42.00,000,42.00
2015-06-15,42.35,42.54,42.00,42.00,1641900,42.00
2015-06-12,42.50,42.90,42.26,42.35,2467500,42.35
2015-06-11,42.87,43.41,42.41,42.50,3229300,42.50
2015-06-10,42.05,42.62,42.03,42.50,1863200,42.50
2015-06-09,42.61,42.99,42.01,42.01,1258700,42.01
2015-06-08,42.20,42.65,42.08,42.63,1197400,42.63
2015-06-05,42.01,42.45,42.01,42.09,1746200,42.09
2015-06-04,42.25,42.97,42.08,42.45,1895400,42.45
2015-06-03,42.80,43.31,42.25,42.59,2672700,42.59
2015-06-02,43.15,43.20,42.25,42.80,2743500,42.80
2015-06-01,43.41,44.06,42.61,43.33,2253000,43.33
2015-05-29,43.77,44.17,42.78,43.40,5890200,43.40
2015-05-28,43.30,44.30,43.23,43.77,1320600,43.77
2015-05-27,43.81,43.81,42.87,43.50,3632200,43.50
2015-05-26,44.59,44.79,43.81,43.81,2299500,43.81
2015-05-25,44.75,45.00,44.41,44.52,595000,44.52
2015-05-22,44.90,45.13,44.55,44.75,5497900,44.75
2015-05-21,45.36,45.49,44.23,44.88,4592900,44.88
2015-05-20,44.33,45.48,43.90,45.35,2751900,45.35
2015-05-19,43.23,44.36,43.15,44.11,1916100,44.11
2015-05-18,42.65,43.49,42.55,43.20,2025800,43.20
2015-05-15,43.30,43.60,42.75,42.90,1784800,42.90
2015-05-14,43.50,43.67,43.05,43.06,2173900,43.06
2015-05-13,44.34,44.50,43.50,43.70,3565600,43.70
2015-05-12,45.00,45.02,43.52,44.50,2650800,44.50
2015-05-11,46.21,46.22,45.00,45.00,1870500,45.00
2015-05-08,46.09,46.09,44.83,45.78,1798500,45.78
2015-05-07,44.95,45.75,44.29,45.50,2075300,45.50
2015-05-06,46.54,46.54,44.56,45.04,2120500,45.04
2015-05-05,47.24,47.24,46.09,46.20,1337900,46.20
2015-05-04,46.82,47.59,46.58,47.47,1895100,47.47
2015-05-01,46.82,46.82,46.82,46.82,000,46.82
2015-04-30,46.50,47.75,46.31,46.82,1449800,46.82
2015-04-29,47.88,48.10,46.40,46.55,1230700,46.55
2015-04-28,47.52,48.29,47.21,47.51,1242400,47.51
2015-04-27,47.54,47.54,47.54,47.54,000,47.54
2015-04-24,47.34,48.00,47.17,47.54,1128200,47.54
2015-04-23,47.84,48.20,47.19,47.19,1212900,47.19
2015-04-22,47.39,47.75,46.93,47.49,1147000,47.49
2015-04-21,48.20,48.94,47.28,47.76,1030200,47.76
2015-04-20,48.20,48.30,47.35,48.20,916400,48.20
2015-04-17,47.93,48.14,47.00,47.77,959300,47.77
2015-04-16,48.04,48.18,46.90,48.02,1205300,48.02
2015-04-15,48.02,48.15,47.35,47.78,593500,47.78
2015-04-14,47.96,48.47,47.61,48.00,1111200,48.00
2015-04-13,47.86,48.70,47.48,48.45,1362500,48.45
2015-04-10,46.70,48.04,46.70,47.86,1285800,47.86
2015-04-09,46.70,46.97,46.24,46.70,861100,46.70
2015-04-08,46.85,46.85,46.28,46.50,1158000,46.50
2015-04-07,46.62,47.04,46.42,46.74,675200,46.74
2015-04-06,46.19,46.19,46.19,46.19,000,46.19
2015-04-03,46.19,46.19,46.19,46.19,000,46.19
2015-04-02,46.55,46.72,46.19,46.19,1416600,46.19
2015-04-01,46.06,46.99,45.79,46.50,1603600,46.50
2015-03-31,46.05,46.34,45.50,46.26,1741300,46.26
2015-03-30,45.25,46.25,45.00,45.75,1111500,45.75
