price_date,close_price,dma_10,dma_50,dma_200,ema_12,ema_26,ema_diff,ema_macd_9,signalstrength1,signalstrength2
2012-10-23,33.87,34.404,34.6068,32.638,34.4859,34.6358,-0.149918,-0.0239458,-526.069943751529,-84.02734375
2012-10-22,34.5,34.527,34.6086,32.6127,34.5979,34.6971,-0.0992279,0.00754722,1414.7609642233,-107.605945317906
2012-10-19,34.34,34.657,34.5952,32.5824,34.6157,34.7129,-0.0971947,0.034241,383.854820974133,-135.229276591752
2012-10-18,34.57,34.807,34.5848,32.5533,34.6658,34.7427,-0.0769005,0.0670999,214.605958075042,-187.255498474627
2012-10-17,34.47,34.947,34.5698,32.5209,34.6832,34.7565,-0.0732498,0.1031,171.047599405079,-240.750709154645
2012-10-16,33.73,35.044,34.5552,32.4883,34.722,34.7794,-0.0573196,0.147187,138.943339410063,-356.783320369693
2012-10-15,33.9,35.153,34.5562,32.4551,34.9024,34.8633,0.0391045,0.198314,80.281512558001,407.138289861965
2012-10-12,34.25,35.233,34.5606,32.4221,35.0847,34.9404,0.144363,0.238116,39.3726070001022,64.9419429929447
2012-10-11,35.18,35.261,34.538,32.384,35.2365,34.9956,0.240875,0.261554,7.90618783330521,8.58492839778918
2012-10-10,35.23,35.219,34.508,32.3438,35.2468,34.9809,0.265911,0.266724,0.304700703906672,0.30563196666045
2012-10-09,35.1,35.138,34.4752,32.3043,35.2499,34.961,0.288921,0.266927,-8.23968076268252,-7.61244000778991
2012-10-08,35.8,35.1,34.448,32.2627,35.2772,34.9499,0.327251,0.261429,-25.1781331879024,-20.1138430065161
2012-10-05,35.84,35.03,34.4106,32.2159,35.1821,34.8819,0.300171,0.244973,-22.5320344355165,-18.3886887533677
2012-10-04,35.97,34.943,34.365,32.167,35.0625,34.8053,0.257221,0.231174,-11.2674635523148,-10.1264675158315
2012-10-03,35.44,34.866,34.3046,32.1115,34.8975,34.7121,0.185402,0.224662,17.4751797661203,21.1756653532776
2012-10-02,34.82,34.847,34.256,32.062,34.7989,34.6539,0.145042,0.234477,38.142209535268,61.6611250558887
2012-10-01,34.7,34.909,34.224,32.0138,34.7951,34.6406,0.154552,0.256836,39.8244555050333,66.180465568308
2012-09-28,34.53,34.972,34.2018,31.9674,34.8124,34.6358,0.176529,0.282407,37.4912159601638,59.9775160180223
2012-09-27,34.76,35.132,34.1898,31.9215,34.8637,34.6443,0.219479,0.308876,28.9427634793469,40.7316198835491
2012-09-26,34.42,35.211,34.1694,31.8769,34.8826,34.635,0.247593,0.331225,25.249325921825,33.7780578345274
2012-09-25,34.72,35.202,34.159,31.837,34.9667,34.6522,0.314518,0.352133,10.6821049745126,11.959647024221
2012-09-24,35.1,35.145,34.1406,31.7922,35.0116,34.6468,0.364819,0.361537,-0.907562016627893,-0.899399409212108
2012-09-21,34.97,35.094,34.1124,31.7497,34.9955,34.6105,0.385006,0.360717,-6.73345857918526,-6.30866709354286
2012-09-20,35.2,35.097,34.0658,31.7058,35.0001,34.5817,0.418388,0.354645,-17.9739165984939,-15.2355004536005
2012-09-19,35.25,35.061,34.0228,31.6612,34.9637,34.5322,0.431522,0.338709,-27.4020199389452,-21.5083088573298
2012-09-18,35.44,34.911,33.973,31.6131,34.9117,34.4748,0.436932,0.315506,-38.4858157991234,-27.7904387370241
2012-09-17,35.33,34.747,33.925,31.562,34.8157,34.3976,0.418118,0.28515,-46.6307331716424,-31.8014731039076
2012-09-14,36.13,34.617,33.8752,31.5124,34.7222,34.323,0.399204,0.251908,-58.4722388179774,-36.8974649781651
2012-09-13,35.55,34.391,33.811,31.4501,34.4662,34.1784,0.287823,0.215084,-33.8188803694381,-25.2721292212827
2012-09-12,34.33,34.243,33.7652,31.3911,34.2692,34.0687,0.200542,0.196899,-1.85051751388999,-1.81689554364574
2012-09-11,34.15,34.22,33.7452,31.335,34.2582,34.0478,0.210445,0.195988,-7.37657236679289,-6.8698154580637
2012-09-10,34.59,34.207,33.7266,31.2784,34.2779,34.0396,0.238224,0.192374,-23.8340526479759,-19.2467678625759
2012-09-07,35,34.152,33.6802,31.223,34.2211,33.9956,0.225559,0.180911,-24.6796651140969,-19.7944589372389
2012-09-06,34.84,34.044,33.6306,31.1668,34.0795,33.9152,0.164291,0.169749,3.21488502617183,3.32167299387016
2012-09-05,33.75,33.978,33.5762,31.114,33.9412,33.8412,0.100025,0.171113,41.5443727832288,71.0699290406544
2012-09-04,33.8,34.041,33.5414,31.0665,33.976,33.8485,0.127483,0.188885,32.5075606160832,48.1647439517939
2012-08-31,34.03,34.068,33.5174,31.0201,34.008,33.8524,0.155594,0.204236,23.8167781537425,31.2624979313769
2012-08-30,33.87,34.068,33.4794,30.9743,34.004,33.8382,0.165882,0.216397,23.3436876169333,30.4524009715994
2012-08-29,34.07,34.094,33.454,30.9282,34.0284,33.8356,0.192722,0.229026,15.8513371297701,18.8373012583876
2012-08-28,34.1,34.084,33.4276,30.884,34.0208,33.8169,0.203857,0.238102,14.3822407535112,16.7981980375187
2012-08-27,34.02,34.07,33.3906,30.8368,34.0064,33.7943,0.21212,0.246663,14.0041733101106,16.2847126996187
2012-08-24,34.04,34.064,33.355,30.7896,34.0039,33.7762,0.227665,0.255299,10.8240567799776,12.1378663226152
