ticker,companyname,sector,industry,closeprice,dma10,dma50,dma200
ACY,AeroCentury Corp. Common ,Services,Rental & Leasing Services,18.25,18.266,17.8544,18.7203
AEE,Ameren Corporation Common ,Utilities,Diversified Utilities,41.31,41.177,40.5786,36.869
AERG,APPLIED ENERGETICS ,Technology,Scientific & Technical Instruments,0.03,0.03,0.0246,0.01725
AGRO, Adecoagro S.A. Common Shares ,Consumer Goods,Farm Products,8.92,9.038,8.2432,7.69025
AGX,Argan Inc. Common ,Industrial Goods,Heavy Construction,26.77,27.137,28.3454,23.9466
AHS,AMN Healthcare Services Inc AMN ,Services,Staffing & Outsourcing Services,12.48,12.702,13.6258,14.0337
ALJ,Alon USA Energy Inc. common st ,Basic Materials,Oil & Gas Refining & Marketing,16.29,16.274,15.0356,13.552
ALTV,Alteva Inc. ,Technology,Telecom Services - Domestic,6.05,6.516,7.9742,8.1612
AMPS,iShares Utilities Sector Bond ETF,Fixed Income ETF,,50.33,50.339,49.6772,48.4613
AMU, ETRACS Alerian MLP Index ETN ,N/A,N/A,30.49,30.399,29.5048,28.7299
APA,Apache Corporation Common ,Basic Materials,Independent Oil & Gas,86.8,86.554,82.717,84.9669
APWC,Asia Pacific Wire & Cable Corp. Ltd. ,Industrial Goods,Industrial Electrical Equipment,2.46,2.556,2.8082,3.32995
ASG, Liberty All-Star Growth Fund  I ,N/A,N/A,5.31,5.395,5.4844,5.20715
ATO,Atmos Energy Corporation Common ,Utilities,Gas Utilities,51.04,50.613,47.3642,44.7786
ATRM,Aetrium Incorporated ,Technology,Semiconductor Equipment & Materials,5.1,5.225,5.7328,3.9799
AUXL,Auxilium Pharmaceuticals Inc. ,Healthcare,Drug Related Products,22.51,26.723,28.2514,21.8083
AXR,AMREP Corporation Common ,Financial,Property Management,5.44,5.699,6.6686,7.921
BAMM,Books-A-Million Inc. ,Services,Specialty Retail Other,2.34,2.348,2.3234,2.389
BELFA,Bel Fuse Inc. ,NULL,NULL,20.36,21.053,19.7594,18.6702
BGR, BlackRock Energy and Resources  ,Financial,Closed-End Fund - Equity,25.05,24.955,24.2032,25.1242
BGX, Blackstone GSO Long Short Credi ,N/A,N/A,17.75,17.742,17.6986,18.3379
BKT, BlackRock Income Trust Inc. (Th ,Financial,Closed-End Fund - Debt,6.53,6.54,6.5486,6.5279
BME, Blackrock Health Sciences Trust ,Financial,Closed-End Fund - Equity,35.56,35.981,37.1912,34.7598
BMRC,Bank of Marin Bancorp ,Financial,Regional - Pacific Banks,45.41,45.439,44.7632,43.2626
BOND,PIMCO Total Return Exchange-Traded Fund,Fixed Income ETF,,107.31,107.214,106.8,105.893
BONT,The Bon-Ton Stores Inc. ,Services,Department Stores,11,11.153,10.6786,13.033
BPHX,BluePhoenix Solutions Ltd. ,Technology,Business Software & Services,4.35,4.352,4.3972,4.3766
BRKR,Bruker Corporation ,Technology,Scientific & Technical Instruments,20.66,21.098,22.5222,20.4699
BSDM,BSD Medical Corporation ,Healthcare,Medical Appliances & Equipment,1.11,1.152,1.2516,1.34235
BSJE,Guggenheim BulletShares 2014 High Yield Corporate Bond ETF,Fixed Income ETF,,26.51,26.535,26.5248,26.6398
BSPM,Biostar Pharmaceuticals Inc. ,Healthcare,Drug Manufacturers - Major,1.7,1.81,2.148,1.5879
BTH,Blyth Inc. New Common ,Consumer Goods,Personal Products,9.37,9.46,9.7552,11.1343
BTI,British American Tobacco  Indus ,Consumer Goods,Cigarettes,115.02,115.408,110.307,106.367
