ticker,companyname,sector,industry,closeprice,dma10,dma50,dma200
ABC,AmerisourceBergen Corporation ( ,Services,Drugs Wholesale,65.18,64.429,66.177,64.8622
ACHN,Achillion Pharmaceuticals Inc. ,Healthcare,Biotechnology,2.85,2.854,3.2324,4.1832
ACWX,iShares MSCI ACWI ex US Index Fund ETF,Global Equity ETF,,47.35,47.028,46.261,45.2321
AED,AEGON N.V. Perp. Cap. Securitie ,NULL,NULL,25.44,25.313,25.1848,24.2386
AERI,Aerie Pharmaceuticals Inc. ,Healthcare,Drug Manufacturers - Major,15.66,15.574,19.8502,
AET,Aetna Inc. Common ,Healthcare,Health Care Plans,71.45,69.964,72.4368,67.327
AGD, Alpine Global Dynamic Dividend  ,Financial,Closed-End Fund - Foreign,10.06,9.983,9.9322,6.58325
AGNCP, American Capital Agency Corp. ,N/A,N/A,26.15,25.936,26.1316,25.57
AGZ,iShares Barclays Agency Bond Fund ETF,Fixed Income ETF,,112.15,111.917,111.738,111.236
AHC,A.H. Belo Corporation Common St ,Services,Publishing - Newspapers,11.51,11.326,11.5266,8.6496
AIRT,Air T Inc. ,Services,Air Delivery & Freight Services,12.22,12.083,12.2592,11.3851
AIY,Apollo Investment Corporation ,N/A,N/A,24.33,23.968,23.8168,22.1019
AJG,Arthur J. Gallagher & Co. Commo ,Financial,Insurance Brokers,45.02,44.899,46.044,45.6725
ALB,Albemarle Corporation Common St ,Basic Materials,Specialty Chemicals,67.04,66.731,65.5448,64.9035
AMIC,American Independence Corp. ,Financial,Accident & Health Insurance,10.93,10.935,11.3874,10.4739
AMRE, AmREIT  Inc. Class B COmmon sto ,Financial,Property Management,16.66,16.431,16.6878,17.0602
AMRS,Amyris Inc. ,Healthcare,Biotechnology,3.52,3.472,3.9272,3.277
AMSF,AMERISAFE Inc. ,Financial,Property & Casualty Insurance,42.65,41.747,42.5122,39.3345
AMTG, Apollo Residential Mortgage  In ,Financial,REIT - Residential,16.15,15.929,16.4972,15.6196
AMX,America Movil S.A.B. de C.V. A ,Technology,Wireless Communications,20.08,19.721,19.9036,20.9267
AOL,AOL Inc. AOL Inc. Common ,Technology,Internet Information Providers,42.81,42.843,43.1584,40.82
APAM,Artisan Partners Asset Management Inc. ,Financial,Asset Management,58.07,57.121,61.4614,58.4781
APSA,Alto Palermo S.A. ,Financial,Property Management,19.64,18.827,17.5796,19.483
ARRS,Arris Group Inc ,Technology,Communication Equipment,26.09,26.21,27.8816,21.5018
ARSD,Arabian American Development Co ,Basic Materials,Chemicals - Major Diversified,10.93,11.019,11.5764,10.337
ARY, Ares Capital Corporation 7.75%  ,N/A,N/A,26.79,26.432,26.3142,25.7241
ATOS,Atossa Genetics Inc. ,Healthcare,Diagnostic Substances,1.23,1.272,1.736,2.91805
ATRI,ATRION Corporation ,Healthcare,Medical Instruments & Supplies,288.33,288.669,297.232,272.721
ATV,Acorn International Inc. ADS ,Services,Catalog & Mail Order Houses,2.01,1.565,1.6522,1.8599
ATVI,Activision Blizzard Inc ,Technology,Multimedia & Graphics Software,20.01,19.642,20.0122,17.909
AWP, Alpine Global Premier Propertie ,N/A,N/A,7.12,7.097,7.0784,7.1499
AXE,Anixter International Inc. Comm ,Services,Industrial Equipment Wholesale,97.98,96.957,101.187,90.7318
AZPN,Aspen Technology Inc. ,Technology,Business Software & Services,42.99,39.839,43.4194,38.8737
BAB,PowerShares Build America Bond Portfolio ETF,Fixed Income ETF,,29.02,28.896,28.682,27.8209
BBX,BankAtlantic Bancorp Inc. New  ,Financial,Savings & Loans,18.73,17.562,18.9076,15.2255
BCOV,Brightcove Inc. ,Technology,Application Software,8.62,8.48,9.6042,11.415
BCRX,BioCryst Pharmaceuticals Inc. ,Healthcare,Biotechnology,8.59,8.463,10.317,7.71795
BDCS, UBS AG Exchange Traded Access S ,N/A,N/A,25.04,25.165,25.9684,26.1542
BERK,Berkshire Bancorp Inc. ,Financial,Regional - Northeast Banks,7.35,7.257,7.2152,7.55265
BGS,B&G Foods Inc. B&G Foods Inc. ,Consumer Goods,Processed & Packaged Goods,32.8,31.937,30.7682,33.2929
BIND,BIND Therapeutics Inc. ,Healthcare,Biotechnology,9.43,9.588,11.803,
BIV,Vanguard Intermediate-Term Bond ETF,Fixed Income ETF,,83.92,83.648,83.4794,83.205
BKLN,PowerShares Exchange-Traded Fund ETF,Fixed Income ETF,,24.74,24.676,24.789,24.8148
BKSC, Bank of South Carolina Corp. ,Financial,Regional - Mid-Atlantic Banks,15.41,15.086,15.0732,14.8385
BNFT,Benefitfocus Inc. ,Technology,Application Software,32.4,34.863,50.4774,
BPOPM, Popular  Inc. ,N/A,N/A,21.25,20.674,20.3018,19.8031
BSFT,BroadSoft Inc. ,Technology,Application Software,25.38,25.175,27.6126,29.8817
BWEN,Broadwind Energy Inc. ,Industrial Goods,Diversified Machinery,13.49,12.316,10.9536,8.336
BWLD,Buffalo Wild Wings Inc. ,Services,Restaurants,146.12,139.921,144.098,130.477
BWZ,SPDR Barclays Capital Short Term International Treasury Bond ETF,Fixed Income ETF,,36.36,36.222,36.0956,35.8351
CACQ,Caesars Acquisition Company ,Services,Resorts & Casinos,12.6,12.779,14.1084,
CALI,China Auto Logistics Inc. ,Services,Auto Parts Wholesale,2.63,2.645,3.5948,3.174
CANE, Teucrium Sugar Fund ETV ,N/A,N/A,15.2,15.001,14.8768,14.5847
CBL,CBL & Associates Properties In ,Financial,REIT - Retail,18.17,17.88,17.6882,18.8573
CEMB,iShares Emerging Markets Corporate Bond ETF,Fixed Income ETF,,50.6,50.275,49.803,49.1424
CETV,Central European Media Enterpri ,Services,Broadcasting - TV,2.74,2.668,3.2002,3.6575
CFT,iShares Barclays Credit Bond Fund ETF,Fixed Income ETF,,110.51,110.229,109.515,107.897
CHL,China Mobile Limited Common Sto ,Technology,Wireless Communications,47.43,46.119,46.065,51.1084
CHSCP, CHS Inc ,N/A,N/A,31.47,30.668,30.098,30.3625
CIU,iShares Barclays Intermediate Credit Bond Fund ETF,Fixed Income ETF,,109.57,109.355,109.111,108.319
CLR,Continental Resources Inc. Com ,Basic Materials,Independent Oil & Gas,138.52,134.984,124.493,110.35
CLVS, Clovis Oncology  Inc. ,Healthcare,Biotechnology,54.07,53.957,70.9244,65.0526
CLW,Clearwater Paper Corporation Co ,Consumer Goods,Paper & Paper Products,61.39,61.055,62.5762,54.0103
CM,Canadian Imperial Bank of Comme ,Financial,Money Center Banks,89.25,87.502,85.6086,81.9277
CMD,ProShares UltraShort DJ-UBS Commodity ETF,Commodity Based ETF,,51.48,51.826,54.2758,59.2163
CNPF, Global Canada Preferred ETF ,N/A,N/A,12.45,12.244,12.1228,12.5773
CNSL,Consolidated Communications Hol ,Technology,Telecom Services - Domestic,19.92,19.579,19.6152,18.6657
COLM,Columbia Sportswear Company ,Consumer Goods,Textile - Apparel Clothing,85.98,81.851,82.6176,70.7124
COMM,CommScope Holding Company Inc. ,Technology,Communication Equipment,26.68,25.123,23.674,
COV,Covidien plc. Ordinary Shares ( ,Healthcare,Medical Instruments & Supplies,71.25,70.35,70.9454,66.0962
CPLP,Capital Product Partners L.P. ,Services,Shipping,11,10.82,10.7558,9.733
CPSI,Computer Programs and Systems  ,Technology,Healthcare Information Services,63.13,61.771,65.2244,60.7329
CSFL,CenterState Banks Inc. ,Financial,Regional - Southeast Banks,10.97,10.78,10.8516,10.2799
CUT,Guggenheim Timber ETF,Global Equity ETF,,24.66,24.527,25.2126,24.7509
CVGI,Commercial Vehicle Group Inc. ,Services,Auto Parts Wholesale,9.71,9.3,8.9866,7.9536
CVO,Cenveo Inc ,Services,Business Services,3.09,3.084,3.2092,3.06155
CYAN,Cyanotech Corporation ,Healthcare,Drug Related Products,4.98,5.006,5.4434,5.36275
DDC,Dominion Diamond Corporation ,Basic Materials,Nonmetallic Mineral Mining,12.59,12.485,13.527,13.568
DDE,Dover Downs Gaming & Entertainm ,Services,Gaming Activities,1.45,1.428,1.5308,1.48485
DEL,Deltic Timber Corporation Commo ,Industrial Goods,Lumber Wood Production,60.75,60.386,63.3852,63.4513
DF,Dean Foods Company Common ,Consumer Goods,Dairy Products,15.84,15.695,15.181,16.0662
DFT,Dupont Fabros Technology Inc.  ,Financial,Property Management,24.23,24.087,24.674,24.3829
DHX,Dice Holdings Inc. Common Stoc ,Services,Staffing & Outsourcing Services,7.65,7.19,7.2108,7.7638
DOD, Deutsche Bank AG ELEMENTS Dogs  ,N/A,N/A,14.4,14.339,13.984,13.3525
DOVR,Dover Saddlery Inc. ,Services,Sporting Goods Stores,5.56,5.46,5.457,4.86885
DOW,Dow Chemical Company (The) Comm ,Conglomerates,Conglomerates,49.9,48.791,48.7308,42.2931
DPM,DCP Midstream Partners LP DCP  ,Basic Materials,Oil & Gas Pipelines,53.5,52.158,50.4582,49.3944
DSLV, VelocityShares 3x Inverse Silve ,N/A,N/A,51.04,48.532,43.409,47.5199
DTV,DIRECTV ,Services,CATV Systems,77.6,76.57,76.5494,67.4041
DTYL, iPath US Treasury 10 Yr Bull ET ,N/A,N/A,68.26,67.827,67.8362,66.7284
DUA, Deutsche Bank Cap Fdg Tr VIII 6 ,N/A,N/A,25.43,25.213,25.245,24.6474
DVD,Dover Motorsports Inc. Common  ,Services,Sporting Activities,2.34,2.266,2.3116,2.3881
DWAS, PowerShares DWA SmallCap Techni ,N/A,N/A,36.29,36.603,38.854,37.6554
DWCH,Datawatch Corporation ,Technology,Business Software & Services,13.53,13.692,25.4354,28.1942
DWRE,DEMANDWARE INC. Common ,NULL,NULL,49.63,52.039,65.1224,56.8814
DXLG,Destination XL Group Inc. ,Services,Apparel Stores,5.4,5.336,5.5426,6.1321
EBSB,Meridian Interstate Bancorp In ,Financial,Savings & Loans,25.27,24.889,25.5754,22.7544
ENGN,iShares Industrials Sector Bond ETF,Fixed Income ETF,,49.88,49.691,49.2,47.9081
ENR,Energizer Holdings Inc. Common ,Consumer Goods,Personal Products,111.69,99.736,97.3596,100.104
ENVI, Envivio  Inc. ,Technology,Communication Equipment,2.66,2.723,3.214,3.0817
EOPN, E2open  Inc. ,Technology,Application Software,17.27,17.714,23.3068,22.4869
EPOL,iShares MSCI Poland Investable Market Index Fund ETF,Global Equity ETF,,30.32,29.944,29.787,29.2763
EQS,Equus Total Return Inc. Common ,Financial,Diversified Investments,2.1,2.056,1.9484,1.92045
ERH, Wells Fargo Advantage Utilities ,N/A,N/A,12.87,12.683,12.4684,12.1074
ERII,Energy Recovery Inc. ,Industrial Goods,Pollution & Treatment Controls,5.11,5,5.1712,5.27915
EWP,iShares MSCI Spain Index Fund ETF,Global Equity ETF,,41.97,41.497,40.4384,36.81
EWUS,iShares MSCI United Kingdom Small Cap,Global Equity ETF,,42.35,42.216,43.0838,39.9384
FAD,First Trust Multi CG AlphaDEX ETF,US Equity ETF,,44.41,44.435,45.3016,42.8634
FAN,First Trust ISE Global Wind Energy ETF,Global Equity ETF,,12.22,12.093,12.0718,11.0493
FB, Facebook  Inc. ,Technology,Internet Information Providers,59.78,59.694,64.2908,52.12
FBNK, First Connecticut Bancorp  Inc. ,Financial,Money Center Banks,15.85,15.801,15.8222,15.3712
FBRC, FBR & Co ,Financial,Asset Management,25.8,25.532,25.6328,26.7945
FCCO,First Community Corporation ,Financial,Regional - Southwest  Banks,11.17,10.996,11.028,10.5566
FCT, First Trust Senior Floating Rat ,N/A,N/A,14.02,13.96,14.2096,14.6016
FDS,FactSet Research Systems Inc. C ,Technology,Information & Delivery Services,106.5,105.409,105.774,108.148
FDT,First Trust Developed Markets Ex-US AlphaDEX ETF,Global Equity ETF,,51.97,51.803,51.7258,50.08
FFKT,Farmers Capital Bank Corporatio ,Financial,Regional - Southeast Banks,20.89,20.343,20.7886,21.4172
FINZ,ProShares UltraPro Short Financials,Commodity Based ETF,,36.03,35.633,35.7568,43.0962
FIVZ,PIMCO 3-7 Year U.S. Treasury Index Fund ETF,Fixed Income ETF,,79.06,78.957,79.0636,79.1739
FLAT, iPath US Treasury Flattener ETN ,N/A,N/A,57.52,57.179,57.4498,57.0638
FLO,Flowers Foods Inc. Common Stoc ,Consumer Goods,Processed & Packaged Goods,20.52,20.368,20.5848,21.7691
FMC,FMC Corporation Common ,Basic Materials,Chemicals - Major Diversified,77,76.408,76.9432,72.3583
FNK,First Trust Mid Cap Value AlphaDEX ETF,US Equity ETF,,30.35,30.241,30.083,28.4009
FOSL,Fossil Inc. ,Consumer Goods,Recreational Goods Other,106.65,107.643,113.692,117.697
FRX,Forest Laboratories Inc. Class ,Healthcare,Drug Manufacturers - Other,91.91,90.736,93.062,61.8071
FVI,First Trust VL Equity Allocation ETF,US Equity ETF,,25.99,25.939,25.8846,24.7058
FXF, Rydex CurrencyShares Swiss Fran ,N/A,N/A,111.19,110.867,110.894,108.4
FXR,First Trust Industrials AlphaDEX ETF,US Equity ETF,,29.53,29.413,29.184,26.8794
FXU,First Trust Utilities AlphaDEX® Fund ETF,US Equity ETF,,22.97,22.705,21.8996,20.7358
GASX, Direxion Daily Natural Gas Rela ,N/A,N/A,14.83,15.211,20.2004,23.8694
GHI, Global High Income Fund  Inc. C ,N/A,N/A,10.13,10.02,9.8142,10.0324
GJV, Synthetic Fixed-Income Securiti ,N/A,N/A,25.73,25.59,25.4812,25.1549
GLT,Glatfelter Common ,Consumer Goods,Paper & Paper Products,25.52,25.222,27.6664,27.4979
GNMK,GenMark Diagnostics Inc. ,Healthcare,Medical Appliances & Equipment,8.95,9.123,10.7608,11.5816
GNVC,GenVec Inc. ,Healthcare,Biotechnology,2.48,2.529,2.9598,1.95725
GOVT,iShares Barclays U.S. Treasury Bond ETF,Fixed Income ETF,,24.69,24.635,24.5818,24.4874
GPC,Genuine Parts Company Common St ,Services,Auto Parts Wholesale,87.12,86.717,86.2434,82.4905
GPIC,Gaming Partners International C ,Consumer Goods,Toys & Games,8.33,8.298,8.9384,8.4124
GSY, Guggenheim Enhanced Short Durat ,N/A,N/A,50.29,50.277,50.2638,50.2066
GVI,iShares Barclays Intermediate Government/Credit Bond Fund ETF,Fixed Income ETF,,110.53,110.276,110.239,109.936
H, Hyatt Hotels Corporation Class  ,Services,Lodging,56.28,54.302,53.4342,48.2444
HAYN, Haynes International  Inc. ,Basic Materials,Steel & Iron,53.05,52.763,51.6282,50.4831
HBCP, Home Bancorp  Inc. ,Financial,Savings & Loans,20.25,20.137,20.5956,19.0881
HCN, Health Care REIT  Inc. Common S ,Financial,REIT - Healthcare Facilities,63.09,62.417,59.7964,60.0325
HEB, Hemispherx BioPharma  Inc. Comm ,Healthcare,Biotechnology,0.33,0.335,0.3862,0.2976
HEDJ,WisdomTree International Hedged Equity Fund ETF,Global Equity ETF,,57.52,57.214,56.0404,54.223
HMSY, HMS Holdings Corp ,Services,Business Services,16.17,16.242,18.852,21.9785
HOLL, Hollywood Media Corp. ,Services,Specialty Retail  Other,1.25,1.254,1.3362,1.47715
HOLX, Hologic  Inc. ,Healthcare,Medical Appliances & Equipment,20.99,20.737,21.4178,21.7005
HPY, Heartland Payment Systems  Inc. ,Services,Business Services,40.94,39.216,40.9548,41.6529
HRB, H&R Block  Inc. Common ,Services,Personal Services,28.42,28.097,29.7186,29.1075
