1,Agilent Technologies Inc,A 
2,Alcoa Inc,AA 
3,Apple Inc.,AAPL 
4,AmerisourceBergen Corp,ABC 
5,Abbott Laboratories,ABT 
6,ACE Limited,ACE 
7,Accenture plc,ACN 
8,Adobe Systems Inc,ADBE 
9,Analog Devices Inc,ADI 
10,Archer-Daniels-Midland Co,ADM 
11,Automatic Data Processing,ADP 
12,Autodesk Inc,ADSK 
13,The ADT Corp.,ADT 
14,Ameren Corp,AEE 
15,American Electric Power,AEP 
16,AES Corp,AES 
17,Aetna Inc,AET 
18,AFLAC Inc,AFL 
19,Allergan Inc,AGN 
20,American Intl Group Inc,AIG 
21,Apartment Investment & Mgmt,AIV 
22,Assurant Inc,AIZ 
23,Akamai Technologies Inc,AKAM 
24,Allstate Corp,ALL 
25,Altera Corp,ALTR 
26,Alexion Pharmaceuticals Inc,ALXN 
27,Applied Materials Inc,AMAT 
28,Advanced Micro Devices,AMD 
29,Amgen Inc,AMGN 
30,Ameriprise Financial Inc,AMP 
31,American Tower Corp A,AMT 
32,Amazon.com Inc,AMZN 
33,AutoNation Inc,AN 
34,Abercrombie & Fitch Company A,ANF 
35,Aon plc,AON 
36,Apache Corp,APA 
37,Anadarko Petroleum Corp,APC 
38,Air Products & Chemicals Inc,APD 
39,Amphenol Corp A,APH 
40,Apollo Group Inc,APOL 
41,Airgas Inc,ARG 
42,Allegheny Technologies Inc,ATI 
43,AvalonBay Communities Inc,AVB 
44,Avon Products,AVP 
45,Avery Dennison Corp,AVY 
46,American Express Co,AXP 
47,AutoZone Inc,AZO 
48,Boeing Co,BA 
49,Bank of America Corp,BAC 
50,Baxter Intl Inc,BAX 
51,Bed Bath & Beyond Inc,BBBY 
52,BB&T Corp,BBT 
53,Best Buy Co Inc,BBY 
54,Bard  C.R. Inc,BCR 
55,Becton  Dickinson & Co,BDX 
56,Beam Inc,BEAM 
57,Franklin Resources Inc,BEN 
58,Brown-Forman Corp B,BF-B 
59,Baker Hughes Inc,BHI 
60,Big Lots Inc,BIG 
61,Biogen Idec Inc,BIIB 
62,The Bank of New York Mellon Corp,BK 
63,BlackRock Inc,BLK 
64,Ball Corp,BLL 
65,BMC Software Inc,BMC 
66,Bemis Co Inc,BMS 
67,Bristol-Myers Squibb,BMY 
68,Broadcom Corp A,BRCM 
69,Berkshire Hathaway B,BRK-B 
70,Boston Scientific Corp,BSX 
71,Peabody Energy Corp,BTU 
72,Borgwarner Inc,BWA 
73,Boston Properties Inc,BXP 
74,Citigroup Inc,C 
75,CA Inc,CA 
76,ConAgra Foods Inc,CAG 
77,Cardinal Health Inc,CAH 
78,Cameron International Corp,CAM 
79,Caterpillar Inc,CAT 
80,Chubb Corp,CB 
81,Cooper Industries Plc,CBE 
82,CBRE Group  Inc.,CBG 
83,CBS Corp B,CBS 
84,Coca-Cola Enterprises,CCE 
85,Crown Castle Intl Corp,CCI 
86,Carnival Corp,CCL 
87,Celgene Corp,CELG 
88,Cerner Corp,CERN 
89,CF Industries Holdings,CF 
90,CareFusion Corp.,CFN 
91,Chesapeake Energy Corp,CHK 
92,CH Robinson Worldwide Inc,CHRW 
93,Cigna Corporation,CI 
94,Cincinnati Financial Corp,CINF 
95,Colgate-Palmolive Co,CL 
96,Cliffs Natural Resources Inc,CLF 
97,Clorox Co,CLX 
98,Comerica Inc (MI),CMA 
99,Comcast Corp,CMCSA 
100,Chicago Mercantile Exchange,CME 
101,Chipotle Mexican Grill Inc.,CMG 
102,Cummins Inc,CMI 
103,CMS Energy Corp,CMS 
104,Centerpoint Energy Inc,CNP 
105,CONSOL Energy Inc,CNX 
106,Capital One Financial,COF 
107,Cabot Oil & Gas A,COG 
108,Coach Inc,COH 
109,Rockwell Collins,COL 
110,ConocoPhillips,COP 
111,Costco Wholesale Corp,COST 
112,Covidien Plc,COV 
113,Campbell Soup Co,CPB 
114,Salesforce.com,CRM 
115,Computer Sciences,CSC 
116,Cisco Systems Inc,CSCO 
117,CSX Corp,CSX 
118,Cintas Corp,CTAS 
119,CenturyLink Inc,CTL 
120,Cognizant Tech Solutions Corp,CTSH 
121,Citrix Systems Inc,CTXS 
122,Cablevision Systems Co A,CVC 
123,Coventry Health Care Inc,CVH 
124,CVS Caremark Corp.,CVS 
125,Chevron Corp,CVX 
126,Dominion Resources Inc,D 
127,DuPont  E.I. de Nemours,DD 
128,Deere & Co,DE 
129,Dell Inc,DELL 
130,Dean Foods Co,DF 
131,Discover Financial Services,DFS 
132,Quest Diagnostics,DGX 
133,Horton  D.R. Inc,DHI 
134,Danaher Corp,DHR 
135,Walt Disney Co,DIS 
136,Discovery Communications Inc,DISCA 
137,Dollar Tree Inc,DLTR 
138,Dun & Bradstreet Corp,DNB 
139,Denbury Resources Inc,DNR 
140,Diamond Offshore Drilling,DO 
141,Dover Corp,DOV 
142,Dow Chemical,DOW 
143,Dr Pepper Snapple Group,DPS 
