10001,ACCU,AdvisorShares Accuvest Global Opportunities ETF,Global Equity ETF,
44,ACI,Arch Coal Inc. Common ,Basic Materials,Industrial Metals & Minerals
59,ACXM,Acxiom Corporation ,Technology,Information Technology Services
66,ADGE,American DG Energy Inc. Common  ,Utilities,Electric Utilities
4044,AEH, AEGON N.V. Perp. Cap Secs. ,N/A,N/A
85,AEHR,Aehr Test Systems ,Technology,Semiconductor Equipment & Materials
4045,AEK, Aegon NV 8.00% Non-Cumulative S ,N/A,N/A
89,AEO,American Eagle Outfitters Inc. ,Services,Apparel Stores
96,AET,Aetna Inc. Common ,Healthcare,Health Care Plans
106,AFF,American International Group I ,NULL,NULL
10751,AGQ,ProShares Ultra Silver ETF,Commodity Based ETF,
127,AHC,A.H. Belo Corporation Common St ,Services,Publishing - Newspapers
131,AHS,AMN Healthcare Services Inc AMN ,Services,Staffing & Outsourcing Services
136,AIMC,Altra Holdings Inc. ,Industrial Goods,Industrial Electrical Equipment
142,AIRT,Air T Inc. ,Services,Air Delivery & Freight Services
152,ALB,Albemarle Corporation Common St ,Basic Materials,Specialty Chemicals
167,ALN,American Lorain Corporation Com ,Consumer Goods,Processed & Packaged Goods
178,ALTR,Altera Corporation ,Technology,Semiconductor - Specialized
184,ALXN,Alexion Pharmaceuticals Inc. ,Healthcare,Biotechnology
186,AMAG,AMAG Pharmaceuticals Inc. ,Healthcare,Diagnostic Substances
211,AMRS,Amyris Inc. ,Healthcare,Biotechnology
225,ANAT,American National Insurance Com ,Financial,Property & Casualty Insurance
230,ANF,Abercrombie & Fitch Company Com ,Services,Apparel Stores
4081,ANGI, Angie's List  Inc. ,N/A,N/A
10500,ANGL,Market Vectors Fallen Angel HY Bond ETF,Fixed Income ETF,
236,ANN,ANN INC. Common ,Services,Apparel Stores
246,AOL,AOL Inc. AOL Inc. Common ,Technology,Internet Information Providers
247,AON,Aon plc Class A Ordinary Shares ,Financial,Insurance Brokers
252,APA,Apache Corporation Common ,Basic Materials,Independent Oil & Gas
259,API,Advanced Photonix Inc. Class A ,Technology,Semiconductor - Integrated Circuits
263,APOL,Apollo Group Inc. ,Services,Education & Training Services
11096,APWC,Asia Pacific Wire & Cable Corp. Ltd. ,Industrial Goods,Industrial Electrical Equipment
278,AREX,Approach Resources Inc. ,Basic Materials,Oil & Gas Drilling & Exploration
284,ARL,American Realty Investors Inc. ,Financial,Property Management
4098,ARN, Ares Capital Corporation 7.00%  ,N/A,N/A
288,ARNA,Arena Pharmaceuticals Inc. ,Healthcare,Biotechnology
300,ARTX,Arotech Corporation ,Industrial Goods,Industrial Electrical Equipment
303,ARWR,Arrowhead Research Corporation ,Healthcare,Biotechnology
4103,ASBCW, Associated Banc-Corp ,N/A,N/A
314,ASGN,On Assignment Inc. ,Services,Staffing & Outsourcing Services
4106,ASNA, Ascena Retail Group  Inc. ,Services,Apparel Stores
322,ASRV,AmeriServ Financial Inc. ,Financial,Regional - Northeast Banks
329,ASYS,Amtech Systems Inc. ,Technology,Semiconductor Equipment & Materials
4109,ATL, Atlatsa Resources Corporation ,Basic Materials,Industrial Metals & Minerals
4112,ATTU, Attunity Ltd. ,Technology,Technical & System Software
10546,AUD,PIMCO Australia Bond Index Fund ETF,Fixed Income ETF,
365,AUXL,Auxilium Pharmaceuticals Inc. ,Healthcare,Drug Related Products
375,AVGO,Avago Technologies Limited ,Technology,Semiconductor - Broad Line
4117,AVV, Aviva plc Subordinated Capital  ,N/A,N/A
10338,AXEN,iShares MSCI ACWI ex US Energy Sector Index Fund (AXEN) ETF,Global Equity ETF,
10340,AXHE,iShares MSCI ACWI ex US Health Care Sector Index Fund (AXHE) ETF,Global Equity ETF,
10344,AXMT,iShares MSCI ACWI ex US Materials Sector Index Fund (AXMT) ETF,Global Equity ETF,
4121,AXX, Alderon Iron Ore Corp. Ordinary ,Basic Materials,Industrial Metals & Minerals
405,AZO,AutoZone Inc. Common ,Services,Auto Parts Stores
421,BAP,Credicorp Ltd. Common ,Financial,Money Center Banks
425,BBBY,Bed Bath & Beyond Inc. ,Services,Home Furnishing Stores
426,BBD,Banco Bradesco Sa American Depo ,Financial,Foreign Regional Banks
446,BCOV,Brightcove Inc. ,Technology,Application Software
11124,BDL,Flanigans Enterprises Inc. ,Services,Specialty Eateries
457,BDX,Becton Dickinson and Company C ,Healthcare,Medical Instruments & Supplies
476,BGG,Briggs & Stratton Corporation C ,Industrial Goods,Diversified Machinery
481,BHI,Baker Hughes Incorporated Commo ,Basic Materials,Oil & Gas Equipment & Services
488,BIIB,Biogen Idec Inc. ,Healthcare,Biotechnology
4176,BKU, BankUnited  Inc. Common ,Financial,Regional - Mid-Atlantic Banks
4181,BLMN, Bloomin' Brands  Inc. ,Services,Restaurants
4182,BLMT, BSB Bancorp  Inc. ,Financial,Money Center Banks
557,BPO,Brookfield Office Properties In ,Financial,Property Management
4201,BPOPN, Popular  Inc. ,N/A,N/A
569,BRKR,Bruker Corporation ,Technology,Scientific & Technical Instruments
4208,BRN, Barnwell Industries  Inc. Commo ,Basic Materials,Independent Oil & Gas
4210,BSAC, Banco Santander - Chile ADS ,Financial,Money Center Banks
580,BSI,Alon Holdings - Blue Square Isr ,Services,Department Stores
585,BSX,Boston Scientific Corporation C ,Healthcare,Medical Appliances & Equipment
590,BTH,Blyth Inc. New Common ,Consumer Goods,Personal Products
591,BTI,British American Tobacco  Indus ,Consumer Goods,Cigarettes
4226,BWG, Legg Mason BW Global Income Opp ,N/A,N/A
11143,BYBK,Bay Bancorp Inc. ,Financial,Regional - Mid-Atlantic Banks
4233,BZF, WisdomTree Dreyfus Brazilian Re ,N/A,N/A
623,CAB,Cabela's Inc Class A Common Sto ,Services,Sporting Goods Stores
627,CACH,Cache Inc. ,Services,Apparel Stores
10550,CAD,PIMCO Canada Bond Index Fund ETF,Fixed Income ETF,
